"","SITE_CODE","Mean Slope (cfs/wtryear), 90th Percentile","% Change Per Water Year, 90th Percentile","Mean Slope (cfs/wtryear), 50th Percentile","% Change Per Water Year, 50th Percentile","Mean Slope (cfs/wtryear), 10th Percentile","% Change Per Water Year, 10th Percentile","SITE_NAME"
"38","12143400",0.649333333333342,0.103845149184113,-0.75,-0.362932494556013,-0.7692,-1.5847377312621,"SF SNOQUALMIE RIVER AB ALICE CREEK NEAR GARCIA, WA"
"39","12143600",-1.55933333333332,-0.173986134666309,-1.55666666666667,-0.508964089150455,-0.772400000000001,-0.957789792173008,"SF SNOQUALMIE RIVER AT EDGEWICK, WA"
"40","12143700",-0.4983,-0.971411304864854,0.0911,0.687261891290408,-0.0352833333333333,-0.919854874101111,"BOXLEY CREEK NEAR CEDAR FALLS, WA"
"41","12143900",-0.575166666666666,-0.762299843829038,0.145166666666667,0.424432911824185,-0.152066666666667,-0.67977946654746,"BOXLEY CREEK NEAR EDGEWICK, WA"
"42","12144000",-1.61866666666666,-0.154920051554943,-0.645000000000001,-0.150446090151029,-1.26126666666667,-0.825463311408531,"SF SNOQUALMIE RIVER AT NORTH BEND, WA"
"43","12144500",16.6566666666668,0.329121344148169,-6.76666666666667,-0.324074074074074,-7.63366666666667,-1.26774558730317,"SNOQUALMIE RIVER NEAR SNOQUALMIE, WA"
"44","12145500",0.942333333333329,0.308997207329801,-0.0458333333333333,-0.0590578659708576,-0.143206666666667,-1.1040611419922,"RAGING RIVER NEAR FALL CITY, WA"
"45","12147600",0.556200000000001,0.475469956145976,-0.266833333333333,-0.809137543274454,-0.146296666666667,-2.06588482276714,"SOUTH FORK TOLT RIVER NEAR INDEX, WA"
"46","12148000",-1.5153,-1.13183870570177,0.1115,0.165608406668895,0.0637,0.110839474165006,"SOUTH FORK TOLT RIVER NEAR CARNATION, WA"
"47","12148300",0.0316666666666644,0.0104736862414343,0.0773333333333341,0.0765032728232023,0.351900000000001,0.495993572802808,"SF TOLT RIVER BL REGULATING BASIN NR CARNATION, WA"
"48","12148500",2.93800000000003,0.279684331775303,-1.60166666666667,-0.347489649436821,-1.17066666666667,-0.746408229193233,"TOLT RIVER NEAR CARNATION, WA"
"49","12149000",34.4933333333334,0.518837178985791,-7.43333333333333,-0.250238455927734,-10.0066666666667,-1.15110451584207,"SNOQUALMIE RIVER NEAR CARNATION, WA"
"50","14b",0.979279999999999,2.02128450062334,0.0175000000000001,0.119863013698631,-0.03349,-1.01759290206922,"East Fork Issaquah Creek @ NE Birch"
"51","15c",-0.0450066666666668,-0.282517084520776,0.00841666666666665,0.291865337378991,-0.00172333333333333,-0.560524746571258,"Laughing Jacobs Creek at E Lake Sammamish Pkwy"
"52","16b",-0.0475627530364372,-1.41332213711438,0.00211683053788317,0.459129911184706,0.000709080393290918,0.505725505725504,"O.O.Denny Creek"
"53","18a",0.233433333333333,0.523674922230197,0.0494,0.329410195712333,-0.0315366666666667,-0.72487252862599,"Evans Creek @ Union Hill Road"
"54","21A",1.20563745819398,1.58033963184112,0.0636755852842812,0.315081687231903,-0.0437484949832776,-1.3614785502181,"Griffin Creek"
"55","22A",0.563436120401337,1.60503061533347,0.0730568561872908,0.80336586908711,-0.0212722408026756,-2.38683868837202,"Harris Creek"
"56","26a",1.03046333333333,1.37783753150832,0.46875,1.44451891741974,0.40777,3.19748134730668,"Jenkins Creek near Mouth  -  Soos Creek Watershed"
"57","27a",0.149384199584199,0.70234482448687,-0.025174636174636,-0.376716530935092,-0.0433401247401244,-1.52432423829961,"Juanita Creek at Mouth"
"58","28a",0.17532,1.51140536905809,0.0179866666666667,0.559867192363561,8.0000000000009e-05,0.00482450850319678,"Judd Creek, Vashon Island"
"59","31d",0.126766844919786,1.49481781780692,0.018392156862745,0.760171808553743,-0.000883422459893051,-0.0779140636771479,"Madsen Creek above Sedimentation Pond"
"60","34a",0.155667908902691,1.67384848282463,0.0118405797101449,0.397295677632415,-0.00488240165631469,-0.378170348812419,"Lyon Creek near Mouth in Lake Forest Park"
"61","35c",-0.0244633333333333,-0.100801785560992,-0.0333833333333333,-0.326447459560771,-0.0225033333333334,-0.440865797473397,"McAleer @ Mouth"
"62","37a",0.0154566666666663,0.0293625502422862,0.0559333333333334,0.436008366787492,-0.0244566666666667,-0.673932312836128,"May Creek @ Mouth"
"63","40d",0.16762,1.45272700484473,0.0399,0.561497326203209,0.00706666666666666,0.151941918051703,"Crisp Creek at Green River RD"
"64","42a",-0.0492439522998293,-0.276204687774875,-0.0262027257240203,-0.624578834219528,-0.0183604770017035,-1.06720834261003,"Miller Creek near Mouth"
"65","42b",-0.0567966666666667,-0.938919793138981,-0.00881666666666667,-0.783181582648604,-0.00956666666666667,-3.69512038109952,"Miller Creek Detention Facility"
"66","42e",0.0337744234800838,0.755112904456285,0.0172935010482181,0.870822031456478,0.0106377358490566,0.792643039377439,"Walker Creek, 13th SW, in Normandy Park"
"67","43a",-0.0364399999999999,-0.38655747443459,0.0128266666666667,0.511294180175392,0.00587199999999999,0.325426734648636,"Shingle Mill Creek, Vashon Island"
"68","46a",0.106396666666667,0.670914664842192,0.00183333333333332,0.0427300625412731,0.00303,0.365522649134447,"Issaquah Creek, North Fork"
"69","48c",0.340507936507937,4.33203956429198,-0.015184126984127,-1.2426200759913,-0.00126222222222222,-4.89655172413793,"Upper Patterson @ Fall City-Redmond Road"
"70","51m",5.88189163879599,1.42042135839834,0.347765886287626,0.22872158137321,-0.526816722408027,-1.6359399933843,"Sammamish River @ Marymoor Weir--This gage subject to backwater effects from Bear Creek. Data flagged with a ‘p’ is provisional and has not been corrected."
