Locator,Stream,% Basin Developed,Dev_Peak,TSS_mean,TSS_logmean,Fecal_mean,Fecal_logmean,TSS_slope,Fec_slope
0442,Coal,56.9136522753792,1980s,5.1770270270270276,1.3256010810658438,115.74099099099098,4.436626855149518,-0.2719824990807746,-0.16217580874568605
0446,Juanita,91.3962794722042,1980s,4.554817073170732,1.4019285739196279,367.7838269454124,5.774047594261598,-0.18505436003148878,-0.20725375050473685
0456,Forbes,91.0642332306234,1980s,4.954772727272727,1.5326926395397473,264.2348484848485,5.290559280958457,-0.06987725208296311,-0.5306975490852159
0484,Bear,56.0350291788397,1980s,6.843414634146341,1.8584453482602354,420.0467479674798,5.363734447622807,-0.22722170131051828,-0.8630510827864533
0498,Fairweather,99.1974317817015,1980s,7.190431034482759,1.9363472699672635,1450.080459770115,5.932884103894061,-0.004771747656633924,-0.7651938161265348
A432,McAleer,93.1877343922347,1980s,9.615675675675675,2.234167678646719,268.76126126126127,5.422498183442998,0.008687989110240097,-0.303696851756891
A499,Cochran Springs,66.1406025824964,1980s,6.6625,1.8698745652818485,52.92857142857143,3.753928244156152,-0.07718556736364782,-0.1137634042313737
A680,Pine Lake,64.3126888217523,1980s,3.6576851851851853,1.2108695703220584,71.32098765432099,4.048830322470305,-0.3035400198931418,-0.4466181701289596
B484,Evans,56.5157003186361,1980s,4.966216216216216,1.5554694815440329,81.3445945945946,4.174810320069029,-0.15651149910627205,-0.42223999036190885
C446,Juanita,90.4683752051508,1980s,3.503534482758621,1.1287316297032313,329.5689655172414,5.733787069756519,-0.29745859199044794,0.05853305765429358
N484,Cottage Lake Creek,59.8665707371313,1980s,3.7731418918918918,1.294435275257391,111.74549549549549,4.563394220262688,-0.1708171970697839,-0.3725341887790765
S484,Evans,57.4073392469358,1980s,2.4111764705882353,0.8165933182055515,74.09558823529412,3.7699333751901114,-0.17219794027512256,-0.8250427902382302
0430,Lyon,89.8268193432384,1990s,4.398414634146341,1.3968973065313701,366.7256097560976,5.7130579888249855,-0.06621240546315146,-0.3265172095615342
A320,Soos,59.274268678964,1990s,4.200853658536585,1.3980836641658358,58.23170731707317,3.9806763859005625,-0.01685554857243289,-0.1042815769961085
A617,Lewis,73.1288580246914,1990s,2.496022727272727,0.7333902614775286,105.9090909090909,4.510068805077755,-0.22722200152737226,-0.4302617319465572
A690,Eden,72.2007722007722,1990s,3.399285714285714,1.169061908042863,32.43253968253968,3.3750019233416606,0.015727197750460286,-0.1192813845262419
D320,Jenkins,67.7245291871947,1990s,2.547439024390244,0.9156410005265538,41.073170731707314,3.632810805036228,-0.015126871327653318,-0.25971561473441823
0321,Crisp,26.7352185089974,2000s,4.797407407407407,1.5274279937597253,58.9320987654321,3.9703429690377194,-0.03660485920730764,0.024409200114667854
0434,Thornton,97.6336933808164,2000s,5.784593495934961,1.708869896493628,676.2439024390242,6.304573810939497,0.015919528288075156,-0.37544300365831096
0470,Swamp,89.4844806609513,2000s,4.386768292682927,1.4298531497629694,203.28658536585365,5.201612934122279,-0.08238886506599374,-0.18140682139950337
0474,North,87.4597210569195,2000s,5.7820731707317075,1.726506846387191,281.7865853658537,5.465913496281811,-0.06334550923587252,-0.05661542801924027
A620,Idylwood,91.2292817679558,2000s,1.259047619047619,0.11956477963597736,343.35924036281176,5.654665656768318,0.018557054420931383,-0.505969037431754
A632,Issaquah,45.6067683088041,2000s,3.4721875,1.1237633984053632,80.4765625,4.218749174190724,-0.3566629865617606,-0.3998792413698867
A685,Ebright,70.2127659574468,2000s,3.4357539682539677,1.2039377684152046,36.892857142857146,3.400174169357682,-0.15850792021969753,-0.5506853800359419
C320,Covington,57.4911147819993,2000s,2.0237837837837835,0.6309698019467821,30.7027027027027,3.3562686455525963,-0.23492214947851897,-0.05650081850694927
C370,Longfellow,93.8859818231892,2000s,4.658200000000001,1.411645893066841,297.14814814814815,5.389561755608461,0.13299078951851848,-0.3656368729660236
G320,Little Soos,64.018341755568,2000s,3.9375675675675677,1.3201931375009068,228.8716216216216,5.018932156366006,-0.13610300921266544,-0.6846602793720783
KSHZ06,Pipers,89.7449958870305,2000s,4.519375,1.4497919739731338,193.00735294117646,5.06726592321724,-0.018462741687370096,-0.43944331137173803
KTHA02,Pipers,92.9056754596323,2000s,4.717407407407408,1.3925969042483235,210.71071428571426,5.181624791785578,0.048541967193503,-0.38480726020596107
KTHA03,Venema,92.0021762785637,2000s,3.9014285714285712,1.2511430760988242,71.80833333333334,4.006335721004389,0.013877968116540303,-0.5126729364458958
