"","0305","0307","0309","0311","0317","0321","0322","0430","0434","0440","0442","0444","0446","0450","0456","0470","0474","0478","0484","0486","0498","0631","3106","A315","A319","A320","A432","A438","A499","A631","A632","B319","B484","C320","C370","C446","C484","D320","D444","G320","J484","KSHZ06","KTHA02","KTHA03","N484","S484","Year"
"28",0.2739413,0.34655645,0.36117695,0.3567908,0.40406375,0.6608972,1.918962,1.234149,1.271673,1.018386,0.5244392,0.64091585,1.384245,0.4454885,0.5887694,0.74774415,0.8420232,0.86125425,0.57073745,0.3100052,0.999624,0.85374945,0.3606896,0.43233005,0.28807445,0.7969944,1.356102,0.2310545,2.18163,0.9686667,0.2466497,0.21302255,0.2447003,0.5156669,1.0699815,1.515579,0.7622847,1.0230765,1.093434,0.2495738,0.45572285,1.646913,1.7360325,1.506198,0.708813,0.45474815,1997
"29",0.274916,0.32023955,0.3392462,0.372386,0.499097,0.6862986,1.675056,1.215387,1.177863,1.187244,0.606314,0.5351609,1.2857445,0.4454885,0.5419838,0.75806325,0.8476518,0.75712515,0.55416755,0.1930412,0.7688514,0.8879901,0.38944325,0.5780477,0.2885618,0.840147,1.177863,0.1959653,2.0456055,0.9386475,0.1277363,0.2076617,0.2447003,0.69896295,1.05591,1.412388,0.6881748,1.018386,0.999624,0.1540532,0.39431675,1.3795545,1.628151,1.440531,0.7416465,0.5302874,1998
"30",0.2963594,0.3372968,0.3889559,0.3577655,0.45182405,0.7594704,1.675056,1.187244,1.130958,1.177863,0.6947415,0.6521249,1.1731725,0.45279875,0.5955923,0.68799205,0.75618705,0.8054373,0.53662295,0.3285245,0.7669752,0.8673519,0.3577655,0.5975417,0.3109799,0.96444525,1.121577,0.206687,2.134725,1.412388,0.2242316,0.2096111,0.26370695,0.830766,1.206006,1.3795545,0.625808,1.24353,0.8851758,0.1423568,0.36020225,1.534341,1.600008,1.4358405,0.70646775,0.5741489,1999
"31",0.3372968,0.2992835,0.3675125,0.4094246,0.4864259,0.7538418,1.553103,1.130958,1.196625,0.990243,0.4133234,0.6375044,1.140339,0.5419838,0.547832,0.6521249,0.7660371,0.8204469,0.6443273,0.1540532,0.7350798,0.8317041,0.4133234,0.4874006,0.3304739,0.9048759,1.121577,0.2213075,2.115963,1.027767,0.2622449,0.19547795,0.31439135,0.70740585,1.112196,1.252911,0.7594704,1.2106965,0.9029997,0.2388521,0.5780477,1.468674,1.534341,1.384245,0.7969944,0.5790224,2000
"32",0.30366965,0.3187775,0.37189865,0.3392462,0.4055258,0.7013082,1.975248,1.046529,1.140339,0.9677286,0.5595284,0.5926682,1.2576015,0.4172222,0.4445138,0.6694128,0.7782324,0.79464915,0.5731742,0.0809507,0.69990105,0.7566561,0.3109799,0.5955923,0.3061064,0.8757948,1.121577,0.2281304,2.115963,0.94005465,0.1443062,0.2242316,0.30854315,0.6209345,0.7885515,1.1356485,0.7266369,1.299816,0.90534495,0.41088665,0.4885513,1.327959,1.356102,1.393626,0.8260755,0.47814095,2001
"33",0.31244195,0.32316365,0.2788148,0.2934353,0.52102775,0.6844224,1.5953175,1.1168865,1.037148,0.980862,0.430868,0.5429585,1.299816,0.4571849,0.3714113,0.7857372,0.77213475,0.6769176,0.5468573,0.04089053,0.7341417,0.7144416,0.32023955,0.5215151,0.22959245,0.8626614,1.102815,0.2076617,2.1581775,0.74023935,0.12627425,0.1842689,0.3226763,0.6834843,0.96913575,1.168482,0.5527055,1.01604075,0.84718275,0.11360315,0.3246257,1.374864,1.393626,1.3607925,0.8063754,0.4951982,2002
"34",0.28709975,0.31049255,0.3382715,0.3714113,0.4172222,0.6741033,1.721961,1.1168865,1.065291,1.14972,0.44402645,0.528338,1.224768,0.4230704,0.440615,0.6844224,0.79089675,0.70798975,0.46741925,0.1491797,0.60485195,0.7482132,0.3762848,0.48301445,0.265169,0.94099275,1.346721,0.1842689,2.144106,0.7632228,0.20230085,0.21984545,0.24811175,0.8448375,0.8326422,1.121577,0.63604235,1.2763635,0.7453989,0.13504655,0.2905112,1.43115,1.515579,1.318578,0.8448375,0.5137175,2003
"35",0.31146725,0.30756845,0.2934353,0.2875871,0.4259945,0.6404285,1.496817,1.018386,0.94568325,0.971481,0.3831077,0.40796255,1.159101,0.3119546,0.3811583,0.5566043,0.6956796,0.63890935,0.4688813,0.1053182,0.78245385,0.7210083,0.2690678,0.226181,0.2398268,0.9611619,1.1262675,0.1745219,2.1675585,0.905814,0.2495738,0.1521038,0.2524979,0.7294512,0.8363946,1.05591,0.6750414,1.196625,0.8251374,0.1910918,0.3909053,1.384245,1.356102,1.33734,0.89408775,0.4367162,2004
"36",NA,NA,0.44110235,0.43720355,0.5010464,0.77213475,1.843914,0.990243,0.9302046,1.0981245,0.5361356,0.4542608,1.084053,0.3996776,0.42355775,0.5429585,0.7106892,0.616061,0.56001575,0.04527668,1.05591,0.7904277,0.43330475,0.430868,0.343145,1.0793625,1.252911,0.2291051,2.209773,0.8917425,0.1560026,0.2427509,0.2222822,0.802623,0.7238226,1.018386,0.6891129,1.187244,0.8908044,0.187193,0.42160835,1.468674,1.43115,1.365483,0.990243,0.4123487,2005
"37",NA,NA,0.4445138,0.440615,0.4835018,0.7575942,1.9893195,1.074672,1.065291,1.234149,0.58682,0.5029958,1.009005,0.4805777,0.48788795,0.50445785,0.746337,0.73179645,0.606314,0.09488891,0.7810467,0.8270136,0.4493873,0.26858045,0.3645884,1.0793625,1.177863,0.2437256,2.247297,0.915195,0.3178028,0.2583461,0.2895365,0.91191165,0.94755945,1.187244,0.71772495,1.252911,0.7707276,0.22082015,0.4074752,1.581246,1.590627,1.4546025,0.971481,0.3967535,2006
"38",NA,NA,0.355,0.3565,0.464,0.718,2.025,1.08,1.105,1.03,0.422,0.563,1.08,0.34,0.408,0.587,0.741,0.621,0.504,0.03,0.917,0.7485,0.4015,0.297,0.2795,0.981,1.425,0.1785,2.295,0.889,0.2115,0.196,0.268,0.787,0.805,1.2,0.642,1.2,0.7925,0.0954,0.292,1.53,1.585,1.4,0.86,0.425,2007
"39",NA,NA,0.3185,0.312,0.431,0.767,1.64,1.01,0.955,0.918,0.698,0.516,1.01,0.3435,0.453,0.7095,0.7275,0.653,0.495,0.1535,0.8655,0.68,0.3415,0.224,0.2645,0.923,1.17,0.127,2.315,0.8465,0.1455,0.1745,0.232,0.5375,0.863,1.07,0.664,1.06,0.778,0.183,0.2715,1.49,1.515,1.33,0.83,0.428,2008
