"","0311","0317","0321","0322","0430","0434","0440","0442","0444","0446","0470","0474","0478","0484","0486","0631","3106","A315","A319","A320","A432","A438","A499","A617","A620","A631","A680","A685","A690","B319","B484","BB470","C320","C370","C484","D320","D474","G320","KSHZ06","KTHA02","KTHA03","N484","S478","S484","X630","Year"
"20",31.8217045967008,162.192448672858,NA,45.4968334930821,35.6943998084279,40.3091197021424,33.5839203431512,30.9347604469136,60.0321158377973,41.5974246574316,37.4772350846697,43.5529641271376,29.5960894487414,36.2000282532961,10.941056544716,21.2356878813552,30.0437291147161,202.194885828708,18.9579135582806,22.7460389017281,39.3537627022275,9.58646035761987,55.1949383220566,NA,NA,13.0258225482903,NA,NA,NA,14.0405032959975,29.591754881967,NA,15.0435761100663,NA,24.13928057895,17.9925351845354,NA,7.98475219879122,60.9986902502292,59.5486883723777,54.7098453801607,32.6971114313164,NA,33.9673288540543,NA,1989
"21",17.9925351845354,34.4594624157191,NA,60.0321158377973,18.475224371408,29.5830727135661,17.9925351845354,24.6017551023844,37.927303085718,23.6642769436128,22.2775880061663,31.8197358782326,21.8058945306238,29.5830727135661,8.71521843593475,14.0405032959975,18.9579135582806,60.0321158377973,16.0360537455019,15.0435761100663,23.8216725015518,10.9565289595407,46.9533431897819,NA,NA,10.9565289595407,NA,NA,NA,9.44568467307828,30.0416051148401,NA,10.9255841298913,NA,20.3835253344426,14.0405032959975,NA,6.54566665253739,44.039027050137,41.5377274311962,47.9241756555795,24.576788970518,NA,25.9627776862679,NA,1990
"22",20.8657501595196,42.2008222886558,NA,47.9241756555795,23.2054461064945,32.2632079531262,21.8091371106045,20.8623125002608,50.8349076179669,25.0614641563272,24.6017551023844,32.6971114313164,25.9782476137393,26.88988142382,6.54566665253739,15.2575429997544,20.3906190247183,49.8651240822146,11.2357536106843,16.9518373720328,25.0614641563272,9.44568467307828,49.3801481659158,NA,NA,10.9255841298913,NA,NA,NA,8.58508299933211,19.9118318589001,NA,10.9255841298913,NA,18.475224371408,14.5309381468961,NA,6.54566665253739,50.8349076179669,53.2579620322876,53.2579620322876,23.2054461064945,NA,30.0352269568605,NA,1991
"23",19.4367007240988,50.3366930389269,NA,40.26546778397,29.1408361317298,35.7519922571588,21.078468730928,20.3906190247183,44.5248988101098,27.3335914694909,27.7965950737259,34.2731821563765,26.1981378264228,37.3492219521092,6.54566665253739,12.5120724208804,21.3374436350621,45.4195175174733,7.99567566280784,16.0360537455019,31.3782325218072,7.98475219879122,50.3500999985134,NA,NA,10.9565289595407,NA,NA,NA,6.54566665253739,24.5989896328928,NA,7.99567566280784,NA,17.9925351845354,15.0382785207497,NA,6.54566665253739,55.1949383220566,56.6468274399876,54.710463310902,26.4353220172086,NA,28.6940849725738,NA,1992
"24",19.4367007240988,69.1624137109349,25.056064036362,65.1659661470943,29.5960894487414,38.3536312194723,28.2487493170203,21.8091371106045,45.4968334930821,29.135847971654,29.108292009192,45.0109617331092,33.7973339960968,35.4231910303987,10.1856344014848,17.0187946469875,20.8657501595196,56.6438453600458,14.0346993291783,19.915487889917,31.2880229011704,10.9565289595407,50.3487522916628,NA,NA,13.0258225482903,NA,NA,NA,6.54566665253739,33.5765823178841,NA,13.0258225482903,35.3314600390675,24.5989896328928,19.4367007240988,NA,6.54566665253739,52.2882718569244,55.1947853069487,57.6141127482372,28.9105855718587,NA,33.5769180785433,NA,1993
"25",20.3906190247183,51.1966114057752,24.2315207750875,70.69064629313,25.7823600774758,34.7799069849717,24.1577631484916,18.5751637235268,53.5001426922849,25.7228862528541,27.8089622290223,38.3813235254533,29.372269615754,30.1748578057416,5.08025881198908,17.453158418267,18.7170733105696,91.5614579369608,11.1643611479829,17.4488946492615,27.0722199110913,9.10280326936856,51.2227670173321,NA,NA,13.572632444464,NA,NA,NA,5.33099501893389,27.7965950737259,NA,9.69094486851916,41.470575562057,24.4625294727239,16.0311853785269,NA,5.62383647627096,56.0136166137673,51.1258121715818,54.2261440968304,27.2908451241769,NA,25.7500320201497,NA,1994
"26",23.858767559578,37.2256198044299,27.3374596359085,51.5759949613123,27.0651393615956,31.9626615883302,23.2632823742102,21.2079802591825,43.8641970117157,26.2972115156906,26.4748642311813,41.7761538947877,31.2187152648228,30.6658201882255,4.4436414634508,13.0258225482903,22.53095972944,56.3035185039162,8.16086162634287,18.6543581874472,33.170544495234,6.05309050780061,48.5246296497814,30.0794646943545,NA,10.9145355236913,47.8801976443954,NA,17.9883541026341,5.25979748802544,27.026752335973,NA,11.4417370822702,39.7352357010756,23.0222458428938,15.4415829651601,NA,5.48485439543596,48.2123668086351,52.1913713996208,52.1920720220572,25.5190392862389,NA,25.7675745875572,NA,1995
"27",27.3444408304315,41.4299222618279,20.8623125002608,125.141989045424,30.7051845279801,39.7222007044437,25.5211732102701,17.9925351845354,50.3500999985134,27.3227421085503,30.1761250591909,45.6423161645651,34.9824534464977,30.4767303132859,6.3322121002916,17.0284013631163,27.3444408304315,74.9837015460242,13.3309546590797,18.9540115372262,32.8615108810238,10.9565289595407,52.7707689869997,33.9274062205745,31.3782325218072,13.6351227401876,51.0279873471542,37.0652752771472,20.3112282674746,8.7660147122957,34.2396907852723,NA,8.72972624274434,40.4950077536202,26.4328070203508,17.0142944650186,NA,10.9565289595407,55.436735350622,55.4851208803958,65.8273831835787,31.7959698598453,NA,30.0686208570622,NA,1996
"28",30.3093777500924,73.2874574854866,24.9234924053714,82.12118906231,32.2647177422758,49.7173130918385,30.6632349678926,25.442905248932,53.3096967501013,37.9631108924592,39.2101986336141,51.9223800189886,46.3709833674564,46.0311210001679,12.243986898686,20.1529925818851,32.295028354845,128.364040073336,15.4914349655247,19.6763432124818,34.4285591871007,9.65962219560641,54.5170126419717,40.5897076583871,29.9939527441447,16.6268171424563,52.2399278725945,40.6220953041438,23.351707498242,10.8778712754007,38.6146723555876,NA,10.8619674956324,55.6782552893198,32.2636911755208,18.7150896276768,NA,12.8213256171725,66.2833554307777,67.154166075205,69.5413056369951,32.5282460296069,NA,34.7179889276794,26.7995604266792,1997
"29",21.8091371106045,32.0860594449089,21.1169040976418,55.9776632641405,28.2459037891716,34.9824534464977,26.2869955055005,20.098133164985,42.5365946520392,27.602964014527,28.9231316387953,38.185298211822,30.5336423257471,24.3240706598995,2.67496005943804,13.8812515093515,23.0051116959748,50.9713816211314,8.71268752223881,18.4058615990415,28.4309857149668,6.68135054169991,43.5042845454771,30.6459634450918,27.210339572923,13.4643775029581,47.6090632438115,38.7000683997802,23.9262062324352,3.41158548768498,23.2121687870554,NA,8.15897551612604,35.9829966634223,20.7710401376072,15.9372572518791,NA,4.43721781612958,50.8705409726715,58.3882410394627,62.6412359208922,28.0682625017075,NA,29.1484497827666,15.782304069704,1998
"30",21.9970245333124,54.0226167312477,22.0836943698188,47.7989283981411,25.0818251392722,29.4332524128978,24.1074254391801,19.4852773002354,43.1754693596577,27.7377415163524,27.0299505056822,31.6183119299737,26.0451894601046,24.6139663790754,2.54270285688501,12.5843607889883,22.0804717649841,43.4071112424946,9.59286162354588,16.796218801002,27.8604622781619,6.01068977025742,44.9137115345486,32.4162389814444,24.2939226182786,9.44568467307828,44.8418403367303,35.443909167887,21.4222335867671,6.5693168145951,20.6762609868957,31.5560413938662,9.32807915472482,35.294022244719,20.8183951485634,12.4109482685581,39.2145178566041,4.57558160737188,52.1837254492045,49.7671882705039,52.5761636557971,25.7027464444286,NA,27.9310860956672,13.6307588671476,1999
"31",15.7393692630387,23.0015841576139,22.3049393232605,47.1947030365968,22.2783758862367,29.0586816579716,21.3852794401576,18.1862197265626,41.7658679066117,21.0549644677656,22.8393862032999,27.3298457432092,21.903113048064,21.8389353563235,3.2092055088237,12.5656062482966,14.6423001207232,30.6177316405121,8.78576528470647,17.4481047259012,25.4294726503894,7.44397422750416,44.9138024684681,27.8401628539531,26.480839077729,11.3131834967051,41.7364722694575,37.408633134121,25.0079517704127,4.50991585119954,20.0577491035756,22.417892782537,6.2607956452415,35.5054274438407,20.4709304049778,14.8934783293246,29.5060163739848,5.97699119801169,48.3060337683625,53.2573887299938,53.6434135326598,27.0023817885437,NA,25.0774634937504,12.9365085853496,2000
"32",15.7887666945128,26.4790827250348,27.9323020846219,48.4097897845489,24.3607546470088,29.8179491100486,21.620170748653,13.8890535964004,42.4490173146386,24.1397341476472,31.2456428880106,29.618572578132,25.4523318837854,24.7388542097491,2.89759616316984,15.0541372133504,15.7393194156059,26.657087501353,7.14724077239734,17.7498968086051,29.5999119007258,7.86909535562459,44.1848084541843,32.9184198355592,20.602337061198,11.8688611306873,42.3941881405606,32.9235020226654,24.4630308677393,4.12879925511117,21.7817635969917,26.5857271500874,5.23782004573862,35.7451451825181,24.251603560031,14.9372925499553,36.5542798633017,6.32559364608496,48.2638560393257,55.0230698238501,55.3634797098142,29.6413837560741,NA,21.2880800736982,16.9689629509519,2001
"33",14.2919633137464,19.910221752017,22.5586640560809,35.5788409758683,25.3236267318062,27.9264058443384,20.007861531423,14.9424261014566,41.5916174162455,24.0451588514557,25.1443483096724,37.6687748569599,23.0487675995144,20.6759480093698,4.161753347845,11.6121067472387,14.5934371361118,28.4267019615399,6.1352311969914,16.9892617693871,32.306442262558,5.97699119801169,45.4482323421086,44.2929836597229,19.6700242889246,11.8316968515882,37.1776955963365,31.0669159478346,20.2964446523535,4.81882319239139,24.2786029110745,30.0437291147161,7.992625459003,43.0603064717929,20.5813423168702,16.527844928748,42.3858959570299,7.21910579189662,59.0155821627325,59.547839519516,58.5817267661491,28.6538963393918,31.9533018566836,31.5090917871124,14.6423001207232,2002
"34",20.8657501595196,28.4284807947996,26.3435058027394,38.4013152942187,22.4259401610067,26.5813963006299,19.6503208884299,17.0180751635495,37.8809881884079,23.3001927729616,21.0929960473701,29.9038928375827,22.5110882673038,23.1160613738136,3.47919550771002,12.3379578359121,20.2964446523535,38.0950038427684,11.7759354416583,17.5797441540428,29.8457133888321,7.50859612025399,47.0508470567243,35.93654932147,20.1032456032495,11.9309459158241,37.2253804853094,31.6382065038421,21.6020513002532,5.41818862630669,20.3911857925564,26.5258307310733,7.07934331224872,42.6738077249579,25.9768064148254,16.3807850570313,33.1441106232593,7.76018529539727,56.6437095279738,56.9356509964272,56.162098740763,29.5515401724208,29.9978704526834,27.5256806433051,15.7321801086925,2003
"35",17.214241076706,38.6559893424829,24.5946712573355,45.4586195663609,26.0952068116238,28.5961040758105,24.6221942686264,17.5967991504353,45.5556966332378,28.7570348621248,27.7475501867463,36.2067811500688,28.7139669896847,23.211900134876,3.85429456002545,15.430256362141,18.2345483227805,29.1035214301949,7.46398577548859,18.4279450871063,24.1861654152815,7.91225568503548,46.856532109343,36.1101630863114,22.5829185289994,12.821390958371,44.0189030129883,35.7637361047589,26.7085754576329,4.90345241834353,25.7044165547435,27.3235332541943,7.41354713908412,41.9967453003398,23.8622517276391,15.8383626940652,37.428476317486,6.94620434445665,57.6133747677368,50.9319091057433,56.0661755768918,26.5264564779086,34.8169705293969,23.0343501895938,16.52854598724,2004
"36",17.9440412316895,57.9051975416057,33.3057508370697,66.0860904671905,23.5349234246859,26.6085362208974,22.8048848063958,17.5303144313577,45.2526122910964,24.4144234588731,26.2032897218199,37.7871758856379,27.3327863881271,24.6466898267369,4.99287861595319,14.6436712535184,18.6677106298611,45.4325033288198,10.4490621334604,17.7963977738356,23.7924696526437,6.88173775644591,44.8652389867769,33.0584736512297,22.8868191325446,12.9234127616356,38.3070657372217,33.4946763375458,28.3159432255863,3.14205343661945,28.3495555771101,25.6545370216517,8.60515969868273,42.6983825621827,20.0108355520963,16.1345599998643,37.8838036327907,5.13241741924221,57.732328828876,59.0649813221433,54.2748240729342,26.5263563651813,34.9816716453102,24.6477930488046,17.7950401809563,2005
"37",19.5333618130238,43.9417368783182,29.1035214301949,46.6127822095916,19.8617560064478,27.2821427314508,23.2840763724472,17.5977589049287,43.0029677450019,34.5685170557044,27.2423786714883,33.5758295512037,23.62511709666,25.1539450183266,3.47919550771002,12.8197567463632,18.8964918815466,36.8207764281002,7.78188809360424,15.8351966262613,26.0702534205299,6.6142279464637,45.7130981939553,29.446962253896,23.9991206340201,11.3542013242776,40.4516433534978,31.217427370802,23.3052143891776,5.17512774665508,23.9548880737991,22.9771067077597,6.1187575480458,43.7474203012444,21.4325814425379,13.0258225482903,31.4906206715673,4.71429178344112,48.603939756413,55.7757904521153,58.2915717962555,26.9813824340191,30.2146572924637,20.5814122888146,16.4020866280965,2006
"38",14.9,53.95,26.3,43,27.85,32.85,23.225,12.04,43.05,36.35,31.55,48.05,27.2,23.3,2.929,10.015,14.95,34.35,7.59,14.65,29.75,5.03,48.45,34.85,19.4,9.345,45.7,34.6166666666667,19,4.62,19.8,19.65,6.505,43.9,19.95,12.75,40.1,4.95,60.625,61.1,60.25,28.45,32,22.1,13.1125,2007
"39",12.3,44.45,29.6,63,23.45,31.95,20.775,12.8,46.95,24.55,22.6,36.9,27.325,22.4,3.675,13.95,12.9,28.8,6.11,15.35,29.5,3.45,45,30.3,21.45,10.85,47.35,32.85,24.5,3.85,24.05,21.85,4.85,35.85,19.45,12.975,34.75,3.6,53.4,55.25,56,26.55,32.85,21.05,17.55,2008
"44",NA,48.75,23.7,46.35,23.65,33.4,23.05,9.43,44.1,26.45,26.35,41.7,27.6,20.7,3.89,12.6,13.2,31.9,NA,12.6,24,NA,NA,33.2,19.1,8.07,41.35,33.7,NA,3.72,21.2,NA,3.9,44.4,16.7,9.845,NA,3.7,56.95,NA,57.6,20.7,NA,NA,15.8,2013
"45",NA,27.7,22.7,51.1,23.6,34,16,12.2,39,25.7,25.95,42.35,24.25,17.85,4.275,8.585,14.7,25.9,NA,11.7,25.35,NA,NA,28,17.4,7.79,34.65,21.95,NA,3.025,17.85,NA,4.545,52.95,15.25,8.16,NA,2.935,58.45,NA,54.45,22.45,NA,NA,14.65,2014
"46",18.85,55.9,20.45,36.05,22.05,34.25,19.95,13.55,42.95,25.85,27.65,40.55,22.85,22.4,5.93,9.52,19.35,41.3,6.56,13,24.35,3.73,48.05,30.05,20.1,8.19,45.55,30.05,21,2.44,21.55,17.4,5.115,53.15,16.05,9.095,33.9,2.675,58.85,58.85,53.1,18.3,24.3,21.35,14.6,2015
"47",17.95,59.25,24.5,38.75,23.25,36.85,22.35,12.95,49.55,26.35,27.55,53.8,25.5,24.2,6.09,11.05,18.45,33.5,5.635,12.65,28.7,4.045,43.8,36.75,23.1,8.845,49.1,34.3,19.55,2.425,33.55,18.6,4.15,39.3,18.35,8.915,48.1,2.87,52.675,50.3,52.85,20.65,25.55,20.7,20.6,2016
"48",19.4,49.3,29.4,49.95,18.8,31.05,19.8,12.65,42.55,23.2,23.7,44.7,19.35,18.05,5.295,8.485,18.6,33.75,7.63,11.95,22.95,3.94,40.9,29,14.9,7.02,30.4,25.4,18.5,3.94,19.85,17.525,3.855,36.3,14.95,10.345,41.6,3.22,52.55,54.25,52.475,18,24.65,16.7,14.65,2017
"49",16.45,54.95,27.85,38.075,24.55,33.8,19,13.775,52.9,28.15,27.05,37.2,22.15,17.8,4.01,9.935,16.7,42.1,5.67,13.45,23.95,3.44,39.05,29.7,19.25,7.895,45.875,31.55,22.35,2.945,22.85,16.35,4.12,46.25,16.6,10.8,32.4,3.11,47.3,45.25,47.55,15.2,25.4,21.5,12.6,2018
"50",19.45,61.95,33.75,44.35,24.4,37.9,27.4,14.8,52.65,30.4,27.25,44.25,25.1,18.95,4.415,11.15,21.825,33.5,8.58,13.55,26.15,3.38,40.75,33.55,18.55,9.69,48.5,33.8,22.05,3.02,23.05,18.75,4.69,42.25,16.7,11.95,36.45,3.415,56.15,56.2,51.4,20.75,28.4,22.95,16.8,2019
"51",19.4,54.85,30.55,46.35,25.35,35.65,19.375,13.05,51.25,26.6,24.3,40.25,24.25,19.85,6.27,9.495,16.4,41.95,6.395,14.55,24.45,3.98,43.35,33.75,18,8.35,36.4,27.65,27.5,3.6,23.7,19,4.09,38.6,17.2,12.3,34.25,3.395,56,59.3,51,19.65,26.45,23.05,16,2020
"52",15.5,65.8,33.65,41,21.25,34.9,21.25,13.5,40.25,25.7,22.1,32.65,19.1,NA,4.94,11.445,15.55,46.9,6.4825,13.15,22.4,3.605,41.2,29.85,16.35,7.905,36.25,29.5,21.2,4.5275,20.25,14.85,3.97,45.2,15.2,9.84,30.15,2.76,56.2,55.7,53.45,18.05,23.55,16.7,14,2021
"53",14.7,53.5,29.2,35.9,20.85,29.6,18.2,12.3,35.95,21.8,19.3,33.1,21.5,NA,2.905,9.55,15.7,34.8,6.52,12.5,23.1,3.58,40.6,26.1,16.1,8.385,30.25,24.15,15.65,3.34,20.9,14.15,3.29,30.7,13.175,10.55,28.8,2.815,55.4,53.15,51.9,15,21.75,19.6,11.75,2022
