site_no	datetime	149551_00060_00003_cd
15s	20d	10s
12213100	10/28/2006	2020
12213100	10/29/2006	1460
12213100	10/30/2006	1500
12213100	10/31/2006	1130
12213100	11/1/2006	977
12213100	11/2/2006	917
12213100	11/3/2006	3490
12213100	11/4/2006	12200
12213100	11/5/2006	14700
12213100	11/6/2006	16100
12213100	11/7/2006	31800
12213100	11/8/2006	19700
12213100	11/9/2006	9750
12213100	11/10/2006	6950
12213100	11/11/2006	7070
12213100	11/12/2006	7300
12213100	11/13/2006	11300
12213100	11/14/2006	8680
12213100	11/15/2006	6460
12213100	11/16/2006	12800
12213100	11/17/2006	7700
12213100	11/18/2006	6010
12213100	11/19/2006	5470
12213100	11/20/2006	7880
12213100	11/21/2006	6620
12213100	11/22/2006	6650
12213100	11/23/2006	5940
12213100	11/24/2006	5500
12213100	11/25/2006	5250
12213100	11/26/2006	4720
12213100	11/27/2006	4150
12213100	11/28/2006	3650
12213100	11/29/2006	3400
12213100	11/30/2006	3400
12213100	12/1/2006	3190
12213100	12/2/2006	3020
12213100	12/3/2006	2850
12213100	12/4/2006	2910
12213100	12/5/2006	3470
12213100	12/6/2006	3380
12213100	12/7/2006	3460
12213100	12/8/2006	3910
12213100	12/9/2006	4360
12213100	12/10/2006	4350
12213100	12/11/2006	5210
12213100	12/12/2006	7970
12213100	12/13/2006	8000
12213100	12/14/2006	8750
12213100	12/15/2006	12300
12213100	12/16/2006	8800
12213100	12/17/2006	6370
12213100	12/18/2006	5150
12213100	12/19/2006	4560
12213100	12/20/2006	4290
12213100	12/21/2006	5220
12213100	12/22/2006	5450
12213100	12/23/2006	4800
12213100	12/24/2006	4630
12213100	12/25/2006	6640
12213100	12/26/2006	5650
12213100	12/27/2006	4870
12213100	12/28/2006	4170
12213100	12/29/2006	3720
12213100	12/30/2006	3420
12213100	12/31/2006	3150
12213100	1/1/2007	3020
12213100	1/2/2007	9070
12213100	1/3/2007	17700
12213100	1/4/2007	11500
12213100	1/5/2007	7810
12213100	1/6/2007	7930
12213100	1/7/2007	7530
12213100	1/8/2007	8590
12213100	1/9/2007	6720
12213100	1/10/2007	6420
12213100	1/11/2007	5210
12213100	1/12/2007	4390
12213100	1/13/2007	3980
12213100	1/14/2007	3640
12213100	1/15/2007	3360
12213100	1/16/2007	3190
12213100	1/17/2007	3020
12213100	1/18/2007	3000
12213100	1/19/2007	3620
12213100	1/20/2007	4200
12213100	1/21/2007	3680
12213100	1/22/2007	3500
12213100	1/23/2007	6290
12213100	1/24/2007	7120
12213100	1/25/2007	5430
12213100	1/26/2007	4610
12213100	1/27/2007	4030
12213100	1/28/2007	3630
12213100	1/29/2007	3350
12213100	1/30/2007	3130
12213100	1/31/2007	2940
12213100	2/1/2007	2760
12213100	2/2/2007	2610
12213100	2/3/2007	2490
12213100	2/4/2007	2490
12213100	2/5/2007	3020
12213100	2/6/2007	3390
12213100	2/7/2007	3420
12213100	2/8/2007	3720
12213100	2/9/2007	3780
12213100	2/10/2007	3410
12213100	2/11/2007	3330
12213100	2/12/2007	3490
12213100	2/13/2007	3320
12213100	2/14/2007	3140
12213100	2/15/2007	4250
12213100	2/16/2007	7160
12213100	2/17/2007	4990
12213100	2/18/2007	5250
12213100	2/19/2007	5300
12213100	2/20/2007	8710
12213100	2/21/2007	6630
12213100	2/22/2007	5210
12213100	2/23/2007	4550
12213100	2/24/2007	4200
12213100	2/25/2007	4190
12213100	2/26/2007	4010
12213100	2/27/2007	3670
12213100	2/28/2007	3350
12213100	3/1/2007	3090
12213100	3/2/2007	2870
12213100	3/3/2007	2880
12213100	3/4/2007	3000
12213100	3/5/2007	3210
12213100	3/6/2007	4010
12213100	3/7/2007	4470
12213100	3/8/2007	6210
12213100	3/9/2007	5490
12213100	3/10/2007	4770
12213100	3/11/2007	9140
12213100	3/12/2007	22200
12213100	3/13/2007	19800
12213100	3/14/2007	10800
12213100	3/15/2007	7880
12213100	3/16/2007	7340
12213100	3/17/2007	8060
12213100	3/18/2007	11900
12213100	3/19/2007	10000
12213100	3/20/2007	10900
12213100	3/21/2007	8400
12213100	3/22/2007	6980
12213100	3/23/2007	7730
12213100	3/24/2007	14400
12213100	3/25/2007	23700
12213100	3/26/2007	14200
12213100	3/27/2007	9540
12213100	3/28/2007	7540
12213100	3/29/2007	6390
12213100	3/30/2007	5690
12213100	3/31/2007	5310
12213100	4/1/2007	4990
12213100	4/2/2007	4650
12213100	4/3/2007	4320
12213100	4/4/2007	4040
12213100	4/5/2007	3810
12213100	4/6/2007	3770
12213100	4/7/2007	4230
12213100	4/8/2007	4860
12213100	4/9/2007	5800
12213100	4/10/2007	6000
12213100	4/11/2007	4820
12213100	4/12/2007	4310
12213100	4/13/2007	3950
12213100	4/14/2007	4180
12213100	4/15/2007	4500
12213100	4/16/2007	4000
12213100	4/17/2007	4000
