CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2010-03-11T20:45:00Z,2010,3,L49872-5,322,NA,Total Suspended Solids,2.3,mg/L,,0.5,1,,2.3,FALSE
2017-07-12T16:51:00Z,2017,7,L68126-4,321,NA,Total Suspended Solids,2.1,mg/L,,0.5,1,,2.1,FALSE
1980-05-28T07:00:00Z,1980,5,8015358,321,1,Total Suspended Solids,8,mg/L,,NA,NA,8.00||King County Nstream Database/RS2,8,FALSE
1997-07-08T15:55:00Z,1997,7,L11415-7,322,NA,Total Suspended Solids,3.9,mg/L,,0.5,1,,3.9,FALSE
2014-02-12T19:20:00Z,2014,2,L59629-5,321,NA,Orthophosphate Phosphorus,0.0251,mg/L,,5e-4,0.002,,0.0251,FALSE
2005-03-16T19:29:00Z,2005,3,L34916-7,322,NA,Nitrite + Nitrate Nitrogen,2.1065820000000004,mg/L,,0.02,0.04,,2.22,FALSE
2013-05-07T17:49:00Z,2013,5,L57848-8,322,NA,Orthophosphate Phosphorus,0.0234,mg/L,,0.002,0.005,,0.0234,FALSE
2016-06-15T18:50:00Z,2016,6,L65574-7,322,NA,Orthophosphate Phosphorus,0.0278,mg/L,,5e-4,0.002,,0.0278,FALSE
1972-12-27T08:00:00Z,1972,12,7216316,322,1,Total Suspended Solids,30,mg/L,,NA,NA,30.00||King County Nstream Database/RBC,30,FALSE
1979-02-21T08:00:00Z,1979,2,7915109,322,1,Nitrite + Nitrate Nitrogen,2.162868,mg/L,,NA,NA,2.280||King County Nstream Database/RS2,2.28,FALSE
1998-10-28T20:10:00Z,1998,10,L14453-5,321,NA,Nitrite + Nitrate Nitrogen,0.6550490000000001,mg/L,,0.02,0.04,,0.67,FALSE
1996-04-17T17:45:00Z,1996,4,L8173-7,322,NA,Orthophosphate Phosphorus,0.18515734741408318,mg/L,,0.002,0.005,,0.192,FALSE
2016-04-13T18:07:00Z,2016,4,L65156-7,322,NA,Total Suspended Solids,6.1,mg/L,,0.5,1,,6.1,FALSE
2005-07-13T16:19:00Z,2005,7,L36108-4,321,NA,Nitrite + Nitrate Nitrogen,0.6628461000000001,mg/L,,0.02,0.04,,0.681,FALSE
1998-10-28T20:20:00Z,1998,10,L14453-10,321,NA,Orthophosphate Phosphorus,0.029238173707544918,mg/L,,0.002,0.005,,0.0281,FALSE
2002-01-24T12:00:00Z,2002,1,L23183-22,322,NA,Nitrite + Nitrate Nitrogen,2.331726,mg/L,,0.02,0.04,,2.46,FALSE
2017-09-13T19:18:00Z,2017,9,L68496-7,322,NA,Orthophosphate Phosphorus,0.0354,mg/L,,5e-4,0.002,,0.0354,FALSE
1990-05-15T07:00:00Z,1990,5,9006357,322,1,Orthophosphate Phosphorus,0.060032115837797266,mg/L,,NA,NA,.061||King County Nstream Database/B53311,0.061,FALSE
2016-08-10T18:05:00Z,2016,8,L65899-4,321,NA,Nitrite + Nitrate Nitrogen,0.914,mg/L,,0.01,0.04,,0.914,FALSE
