"","Month","Year_mon","variable","value","Wtr_Year"
"231","December",Dec 1996,"0311",782.9229,1997
"232","January",Jan 1997,"0311",494.2235,1997
"233","February",Feb 1997,"0311",541.0091,1997
"234","March",Mar 1997,"0311",362.639,1997
"235","April",Apr 1997,"0311",425.0198,1997
"236","May",May 1997,"0311",122.8628,1997
"237","June",Jun 1997,"0311",194.9906,1997
"238","July",Jul 1997,"0311",222.2822,1997
"239","August",Aug 1997,"0311",420.1463,1997
"240","September",Sep 1997,"0311",318.7775,1997
"241","October",Oct 1997,"0311",222.2822,1998
"242","November",Nov 1997,"0311",350.9426,1998
"243","December",Dec 1997,"0311",549.7814,1998
"244","January",Jan 1998,"0311",NA,1998
"245","February",Feb 1998,"0311",432.8174,1998
"246","March",Mar 1998,"0311",658.9478,1998
"247","April",Apr 1998,"0311",401.627,1998
"248","May",May 1998,"0311",233.0039,1998
"249","June",Jun 1998,"0311",297.3341,1998
"250","July",Jul 1998,"0311",250.5485,1998
"251","August",Aug 1998,"0311",273.9413,1998
"252","September",Sep 1998,"0311",342.1703,1998
"253","October",Oct 1998,"0311",387.0065,1999
"254","November",Nov 1998,"0311",372.386,1999
"255","December",Dec 1998,"0311",452.3114,1999
"256","January",Jan 1999,"0311",614.1116,1999
"257","February",Feb 1999,"0311",754.7799,1999
"258","March",Mar 1999,"0311",643.3526,1999
"259","April",Apr 1999,"0311",425.9945,1999
"260","May",May 1999,"0311",260.2955,1999
"261","June",Jun 1999,"0311",170.6231,1999
"262","July",Jul 1999,"0311",273.9413,1999
"263","August",Aug 1999,"0311",355.8161,1999
"264","September",Sep 1999,"0311",357.7655,1999
"265","October",Oct 1999,"0311",455.2355,2000
"266","November",Nov 1999,"0311",NA,2000
"267","December",Dec 1999,"0311",327.5498,2000
"268","January",Jan 2000,"0311",511.7681,2000
"269","February",Feb 2000,"0311",561.4778,2000
"270","March",Mar 2000,"0311",535.1609,2000
"271","April",Apr 2000,"0311",250.5485,2000
"272","May",May 2000,"0311",235.928,2000
"273","June",Jun 2000,"0311",NA,2000
"274","July",Jul 2000,"0311",247.6244,2000
"275","August",Aug 2000,"0311",415.2728,2000
"276","September",Sep 2000,"0311",409.4246,2000
"277","October",Oct 2000,"0311",244.7003,2001
"278","November",Nov 2000,"0311",347.0438,2001
"279","December",Dec 2000,"0311",440.615,2001
"280","January",Jan 2001,"0311",421.121,2001
"281","February",Feb 2001,"0311",575.1236,2001
"282","March",Mar 2001,"0311",468.8813,2001
"283","April",Apr 2001,"0311",324.6257,2001
"284","May",May 2001,"0311",265.169,2001
"285","June",Jun 2001,"0311",NA,2001
"286","July",Jul 2001,"0311",233.0039,2001
"287","August",Aug 2001,"0311",314.8787,2001
"288","September",Sep 2001,"0311",293.4353,2001
"289","October",Oct 2001,"0311",353.8667,2002
"290","November",Nov 2001,"0311",NA,2002
"291","December",Dec 2001,"0311",675.9795,2002
"292","January",Jan 2002,"0311",403.5764,2002
"293","February",Feb 2002,"0311",619.9598,2002
"294","March",Mar 2002,"0311",NA,2002
"295","April",Apr 2002,"0311",256.3967,2002
"296","May",May 2002,"0311",188.1677,2002
"297","June",Jun 2002,"0311",110.1917,2002
"298","July",Jul 2002,"0311",181.3448,2002
"299","August",Aug 2002,"0311",333.398,2002
"300","September",Sep 2002,"0311",254.4473,2002
"301","October",Oct 2002,"0311",330.4739,2003
"302","November",Nov 2002,"0311",NA,2003
"303","December",Dec 2002,"0311",462.0584,2003
"304","January",Jan 2003,"0311",674.1033,2003
"305","February",Feb 2003,"0311",473.7548,2003
"306","March",Mar 2003,"0311",444.5138,2003
"307","April",Apr 2003,"0311",343.145,2003
"308","May",May 2003,"0311",254.4473,2003
"309","June",Jun 2003,"0311",NA,2003
"310","July",Jul 2003,"0311",387.0065,2003
"311","August",Aug 2003,"0311",208.6364,2003
"312","September",Sep 2003,"0311",270.0425,2003
"313","October",Oct 2003,"0311",371.4113,2004
"314","November",Nov 2003,"0311",260.2955,2004
"315","December",Dec 2003,"0311",605.3393,2004
"316","January",Jan 2004,"0311",823.2612,2004
"317","February",Feb 2004,"0311",663.7842,2004
"318","March",Mar 2004,"0311",321.7016,2004
"319","April",Apr 2004,"0311",187.193,2004
"320","May",May 2004,"0311",223.2569,2004
"321","June",Jun 2004,"0311",251.5232,2004
"322","July",Jul 2004,"0311",272.9666,2004
"323","August",Aug 2004,"0311",287.5871,2004
"324","September",Sep 2004,"0311",NA,2004
"325","October",Oct 2004,"0311",269.0678,2005
"326","November",Nov 2004,"0311",318.7775,2005
"327","December",Dec 2004,"0311",571.2248,2005
"328","January",Jan 2005,"0311",675.0414,2005
"329","February",Feb 2005,"0311",562.4525,2005
"330","March",Mar 2005,"0311",558.5537,2005
"331","April",Apr 2005,"0311",425.0198,2005
"332","May",May 2005,"0311",496.1729,2005
"333","June",Jun 2005,"0311",271.9919,2005
"334","July",Jul 2005,"0311",378.2342,2005
"335","August",Aug 2005,"0311",245.675,2005
"336","September",Sep 2005,"0311",358.7402,2005
"337","October",Oct 2005,"0311",449.3873,2006
"338","November",Nov 2005,"0311",401.627,2006
"339","December",Dec 2005,"0311",656.9984,2006
"340","January",Jan 2006,"0311",NA,2006
"341","February",Feb 2006,"0311",698.4939,2006
"342","March",Mar 2006,"0311",576.0983,2006
"343","April",Apr 2006,"0311",253.4726,2006
"344","May",May 2006,"0311",245.675,2006
"345","June",Jun 2006,"0311",472.7801,2006
"346","July",Jul 2006,"0311",451.3367,2006
"347","August",Aug 2006,"0311",348.0185,2006
"348","September",Sep 2006,"0311",348.0185,2006
"349","October",Oct 2006,"0311",367.5125,2007
"350","November",Nov 2006,"0311",478.6283,2007
"351","December",Dec 2006,"0311",440.615,2007
"352","January",Jan 2007,"0311",548,2007
"353","February",Feb 2007,"0311",481,2007
"354","March",Mar 2007,"0311",448,2007
"355","April",Apr 2007,"0311",474,2007
