"","0311","0317","0321","0322","0430","0434","0440","0442","0444","0446","0470","0474","0478","0484","0486","0631","3106","A315","A319","A320","A432","A438","A499","A617","A620","A631","A680","A685","A690","B319","B484","BB470","C320","C370","C484","D320","D474","G320","KSHZ06","KTHA01","KTHA02","KTHA03","N484","S478","S484","X630","Year"
"31",409.4246,482.5271,754.31085,1621.11525,1112.196,1130.958,1063.7665875,380.427275,638.96645,929.24845,604.82665,825.528275,842.0232,640.4285,154.0532,807.3135,412.3487,476.6789,330.4739,925.67045,1187.244,217.89605,2031.534,703.111325,514.20485,1027.767,429.40595,1365.483,1914.2715,190.442,314.39135,884.2377,708.813,1107.5055,822.3231,1196.625,867.117375,216.434,1449.912,1492.1265,1539.0315,1388.9355,799.33965,NA,570.73745,696.094325,2000
"32",339.2462,417.2222,716.78685,1600.008,1027.532475,1102.815,967.7286,572.1995,535.64825,1257.6015,631.0405,783.39195,754.4222,561.4778,146.74295,834.283875,311.46725,594.6176,306.1064,929.2665,1234.149,210.5858,2064.3675,538.81395,494.2235,940.05465,270.0425,1318.578,1865.02125,224.2316,308.54315,1060.6005,643.403025,937.24035,735.54885,1163.7915,873.9186,410.88665,1313.8875,1290.435,1349.06625,1388.9355,843.43035,NA,478.14095,1233.2109,2001
"33",293.4353,521.02775,684.4224,1489.78125,1128.61275,1037.148,1013.6955,430.868,542.9585,1299.816,785.7372,772.13475,675.9795,546.8573,105.70808,714.4416,320.23955,518.347325,229.59245,845.40036,1170.82725,207.6617,2158.1775,515.17955,501.290075,745.164375,227.64305,1482.7455,1881.438,183.78155,322.6763,980.862,705.295125,920.589075,567.81335,1016.04075,847.6518,113.60315,1374.864,1318.578,1393.626,1360.7925,760.87755,799.8087,495.1982,419.65895,2002
"34",371.4113,412.592375,664.0888,1733.68725,1093.434,1065.291,1163.7915,423.0704,518.10365,1234.149,682.07715,789.724125,606.314,467.41925,151.1291,720.53925,355.8161,414.541775,265.169,934.816925,1360.7925,184.2689,2153.487,657.80815,545.39525,816.6945,221.79485,1299.816,1977.59325,197.9147,248.11175,1069.9815,812.47305,849.528,636.04235,1276.3635,845.072025,135.04655,1417.0785,1327.959,1478.055,1337.34,844.8375,818.336175,513.7175,745.0813,2003
"35",287.5871,410.155625,638.051325,1660.9845,1041.8385,927.3903,965.38335,392.8547,415.516475,1149.72,536.379275,700.3701,566.079075,477.6536,107.1944975,740.7084,274.916,226.66835,239.8268,989.77395,1077.01725,179.88275,2176.9395,582.43385,448.4126,905.814,247.13705,1360.7925,2022.153,161.36345,252.4979,827.48265,732.2655,836.3946,675.0414,1196.625,722.41545,168.6737,1379.5545,1403.007,1356.102,1337.34,889.8663,775.652625,427.700225,811.0659,2004
"36",437.20355,496.66025,747.74415,1843.914,980.862,859.8471,1105.16025,670.1344,409.180925,834.5184,527.119625,719.1321,678.85375,553.6802,96.25349,796.759875,426.48185,360.20225,340.70825,1041.8385,1257.6015,228.1304,2228.535,616.792025,538.085,832.6422,297.3341,1313.8875,2125.344,226.912025,238.36475,832.17315,759.00135,694.506975,698.4939,1187.244,768.8514,236.41535,1452.25725,1440.531,1431.15,1365.483,916.60215,906.7521,444.5138,945.68325,2005
"37",440.615,521.758775,753.8418,1989.3195,1070.76325,1098.1245,1206.709575,623.4259,463.52045,1009.005,581.781675,783.626475,731.79645,636.04235,232.0292,839.2089,444.5138,283.6883,364.5884,1069.9815,1238.8395,239.8268,2298.8925,736.956,469.856,918.0093,334.86005,1318.578,2284.821,258.3461,289.5365,1000.796625,908.6283,937.7094,732.2655,1252.911,813.41115,213.5099,1590.627,1496.817,1590.627,1449.912,899.2473,937.24035,396.7535,1206.006,2006
"38",356.5,447.5,725,1960,1065,1037,1070,425.5,569.5,1080,633.5,741,634.25,504.75,168,748.5,353,284.75,279.5,974.166666666667,1425,192,2320,737.5,439.5,826.5,310.5,1400,2112.5,190,277.5,898,740.5,812,642.25,1245,760,137,1525,1510,1585,1400,873,894.5,420,661.75,2007
"39",349,428,759.25,1735,1024.5,950.5,926,632.5,525,1051,699.5,709.5,651,505.5,153.5,720,362.5,192.166666666667,264.5,913.5,1225,189.5,2285,660.25,385.25,846.5,293,1260,2050,189.75,231,923.5,545.25,862,630.5,1095,725.75,183,1465,1460,1515,1330,830,899,428,989,2008
"44",NA,525.5,775,1755,987,991.5,834,400,275,1060,462.5,693,713,436.5,110.95,648,333,320,NA,928,1290,NA,NA,604,406,670,344,1440,NA,172,240,NA,529,1030,488,1295,NA,151,1585,1565,NA,1400,639,NA,NA,868,2013
"45",NA,409.5,798.5,1565,976.5,923,881.5,734.5,291,1003.5,554.5,657,835.5,486,108.75,691.5,306.5,307.5,NA,795.5,1170,NA,NA,789,484.5,718.5,376,1075,NA,158,283.5,NA,449.5,896.5,662.5,1100,NA,203.5,1530,1520,NA,1355,668.5,NA,NA,1155,2014
"46",409,532,863,1500,1024,953.5,1125,536.5,194,1170,458.5,717.5,642,495,68,655,409,346,323,940,1435,182,2205,638,476.5,717.5,332,1255,2320,237.5,296.5,846.5,672,1006.5,586.666666666667,1113.5,845.5,182,1515,1575,1540,1380,562.5,830,472,718,2015
"47",381.5,422.5,868.5,1620,933,932,1035.5,415,223,1090,515.5,766.5,635,536,161.5,619.5,384.5,299.5,269,854,1155,170,2260,640,468.5,701,368.5,1410,2205,192,297,772,906,814.75,609.5,1014.5,849.5,110.5,1500,1530,1530,1330,680.5,788,394,630.5,2016
"48",368.5,375.5,747.5,1485,876.5,819,909.5,400,234.5,1005,504,793.5,682,478,140.5,654.5,369.5,349.5,280,744.5,1069,166.5,2200,677,452.5,725.5,314,966.5,2060,213.5,281.5,734.5,558,958.5,626.5,896.5,829.5,165.5,1545,1555,1585,1320,703.5,851.5,316,1020,2017
"49",258,469,699.5,1297.5,813,834,746,277.5,218.5,845,435.5,659,631.5,402.5,66.4,541.5,257.75,296.5,211.5,754,1047.5,152,2175,593.5,451.5,587,292.5,1397.5,2055,140.5,247.5,683,661,891,559.5,853,672.5,91.8,1470,1495,1500,1275,724,769,299,551.5,2018
"50",310,409,783,1065,774.5,761.5,812.5,261,220.5,846.5,355,663,579.5,392.5,38.55,507,312,265,214.5,777,1050,133,2150,450.5,406,581,200,1355,1745,161.5,244.5,710,560.5,759,514.5,847,722.5,78.4,1370,1400,1425,1220,612.75,808,295,480,2019
"51",277,309.75,808.5,1145,842,697.5,648.75,375,244,799.5,404,622.5,611.5,376.5,90.4,657.5,279.5,275.5,228,713.5,1002,162.5,2162.5,513.5,405,703.5,199,1135,2065,207,234,653.5,649.5,755,442.5,747.5,666,111.5,1355,1355,1380,1235,519.5,836.5,297.5,875,2020
"52",337.5,320.5,799.5,1065,836.5,750,751.5,284,146.5,933,386.5,587,611.5,NA,82.4,464.5,336,242.5,229,809,1065,140.5,2175,516,425,509,212,1245,2065,180.5,220.5,721,547,665.25,500,924.5,632,111.6,1430,1445,1447.5,1285,437,849.5,244,553.25,2021
"53",305.5,257.5,723.5,979.5,778,696.5,610,325.5,116.5,833,470.25,668.5,575,NA,76.8,451,301,185,233,729,1010,152,2187.5,492,348.5,490.5,213,995.5,2085,171.5,243.5,710.5,581,637,387,826.5,685.5,138,1415,1412.5,1455,1235,324.5,763,304.5,574.5,2022
