"","Locator","mean_Conc","Stream","Developed, All Intensities","Developed, Open Space","Deciduous Forest","Agriculture, Total","Wetlands, Total","Open Water"
"44","C484",527.285714285714,"Bear",31.2546082087559,24.0278683094152,3.40980733680262,0.990564525608283,5.38452496714147,0.845238985713217
"45","CHERRY_1",391.857142857143,"Cherry Creek",2.05116114582105,4.17810410737441,2.87128879607955,0.197032720903993,4.22188915646419,1.00200400801603
"46","D320",884.214285714286,"Jenkins",45.4624949346301,22.2620342525647,2.65532023801907,1.32872651267942,4.25064516817028,1.81926760082752
"47","D474",715.214285714286,"North",74.2987049892421,13.8026224982747,1.3843218446799,0.0852514919011083,4.25039581049811,0.657654366094264
"48","F321",661.5,"Crisp",16.9668105372823,10.6414645036464,5.58118767673761,0.163714838517637,6.17651436225629,0.714392022622414
"49","G320",121.7,"Little Soos",38.0497847651132,25.9685569904548,0.926445816956766,4.40763615946098,2.85420175931125,0.280741156653565
"50","GRIFFIN",318.642857142857,"Griffin Creek",0.0438862301728282,0.0919521013144971,1.32285636663811,0.00417964096884078,5.90165304800318,0.0188083843597835
"51","HARRIS_1",516.714285714286,"Harris Creek",9.19329380145898,10.1702145812892,2.78145130327204,0.166375154643573,4.5689177082889,1.78320037541061
"52","KSHZ06",1444.28571428571,"Pipers",86.5505895256375,3.19440636139293,4.4831368247875,0,1.68631752125034,0.0137098985467508
"53","KTHA01",1448.92857142857,"Pipers",91.2313432835821,2.7363184079602,3.56550580431177,0,0.932835820895522,0.0207296849087894
"54","KTHA02",1470.71428571429,"Pipers",90.0279776179057,2.87769784172662,3.8968824940048,0,0.999200639488409,0.0199840127897682
"55","KTHA03",1277.14285714286,"Venema",90.0979325353645,1.90424374319913,0.326441784548422,0,2.61153427638738,0
"56","LSIN1",30.35,"Rock",13.6400527543877,8.03997159379121,2.48047073145988,2.6377193872375,8.45084711372628,1.62321193060769
"57","LSIN9",315.5,"Ravensdale",8.62105042896003,2.9504080351538,1.10901862314292,1.36011717932622,5.29399455953128,1.02531910441515
"58","N484",583.75,"Cottage Lake Creek",34.9761266269867,24.8904441101445,3.09372751651514,0.300869906468703,4.78121525279613,1.58937798417163
"59","NFK_SNQ",230.928571428571,"Snoqualmie - North Fork",0.43938479384659,0.967455850764287,0.49367562409164,0.063732713765929,1.08042124288908,1.52823628987931
"60","PATTER_3",610.928571428571,"Patterson Creek",14.212748569872,10.5437891582675,8.40370471261237,8.01382457096159,5.73923998910379,0.0527785344592754
"61","RAGING_MTH",383.25,"Raging River",3.4398906809843,2.96861382196925,1.99593281614823,0.0505708045061815,0.691851644627121,0.264689742734482
"62","S478",810.5,"Little Bear",36.8765178404633,28.0901675073168,2.42231770346846,0.186811133943583,4.53328351703095,0.0684974157793138
"63","S484",313.357142857143,"Evans",33.73697964592,23.6703596010159,4.66708380875262,0.596267805219184,5.90010673929847,0.0809746402149509
"64","SFK_SNQ",287.535714285714,"Snoqualmie - South Fork",5.0075722657536,3.40505037202871,1.37988081912162,0.175314413643248,0.767926516099295,0.630061895041812
"65","SNQDUVALL",208.785714285714,"Snoqualmie",3.25016503939807,2.94225409671688,1.80172074575044,1.99678701625028,2.47233896328158,1.41110040357417
"66","TOLT_MTH",211.821428571429,"Tolt River",0.70376048336189,1.42663901163315,1.10307511948778,0.13310487870863,2.0160519433673,2.00739471548381
"67","VA12A",813.428571428571,"Shinglemill",8.66178351354494,20.1720730147657,8.58039762818277,4.05766771305662,1.66259737239856,0.0116265550517382
"68","VA37A",1430.71428571429,"Tahlequah",6.05924596050269,11.826750448833,4.51077199281867,0.336624775583483,0.20197486535009,0.0448833034111311
"69","VA41A",753.857142857143,"Fisher",5.50708833151581,10.7233733187932,10.7415485278081,19.6837513631407,0.290803344238459,0.145401672119229
"70","VA42A",809,"Judd",7.15183788181348,13.2978330005177,6.96694031506545,10.4208268619185,3.82368168034909,0
"71","VA45A",1141.5,"Mileta",3.91340549542048,6.82764363030808,17.1523730224813,4.496253122398,0,0
"72","VA65A",1400,"Gorsuch",36.0248447204969,25.2173913043478,17.2670807453416,1.98757763975155,0,0.062111801242236
