Year,Month,09a,15c,18a,26a,35c,46a
1995,12,4.409442927356429,2.928057878328908,3.92741917520328,4.50023937224897,3.2216889775592685,2.773345865543015
1996,1,4.634307551717703,2.8242881374332094,3.878555985250391,4.553629038284542,2.9978262228911685,2.755799673066471
1996,2,4.847641540372556,2.917701913156134,4.209791341601166,4.936565509279169,3.2063700428399566,2.7536789731285642
1996,3,3.994173000937468,1.6528756317637772,2.8425650247769316,3.8379024293909887,2.3765901511710843,1.9078518180120214
1996,4,3.9467674348926836,2.1917805770639927,3.2702981641661255,3.9069463161588684,2.746664303686184,2.3771534977509172
1996,5,3.827969113015547,2.2521600590318958,3.278148074558499,3.919372816509228,2.7410510455588244,2.4356010431709523
1996,6,2.824428092604078,0.42845578371239046,2.1748965438276833,3.1749590929215974,1.952710548200759,0.9052673570534137
1996,7,1.6256797686508702,-0.503047374152658,1.8948288626431307,2.6585295228545616,1.77643753978915,0.4567905305680614
1996,8,1.191359509827341,-0.7744320762222694,1.685259349545714,2.3447627709100805,1.6508241258554697,-0.00252457796263458
1996,9,0.9876775422239888,-0.21155093323578952,1.7839526869215818,2.332397774764738,2.308024307014335,0.6322570090095968
1996,10,1.3269355123097062,0.5331652965364635,2.769286288578379,2.6389894690592635,2.6958310870666717,1.238359107425033
1996,11,2.6939805271138093,1.649576812354958,3.2089832303126373,3.463474677173969,2.5748429051473156,2.2764161328694468
1996,12,4.459094950894695,2.8736766845636197,3.7063444741994473,4.205880090621111,2.8485261369509347,2.377101376385816
1997,1,4.9574169878676635,3.1600359901844572,3.9773479498592472,4.904893555990069,3.415688750945166,2.6047705775267525
1997,2,4.4014251587300866,2.2825149531560815,3.4176973919012825,4.1810192416946235,2.7601322785318847,2.283769851046053
1997,3,4.564949031960646,3.166584881326891,4.013993556284746,4.483348181566299,3.2688660302844195,2.9628885436237016
1997,4,4.092530375249095,1.9793663319370447,3.4045509532972873,4.073416114446577,2.8363631673260996,2.1884831896175747
1997,5,3.711768686938905,1.042354211461869,3.1881238758547243,3.7591073153965313,2.4881831321536056,1.7081898440413021
1997,6,3.300973454730435,1.1895412103528222,2.99504159179198,3.4890316922599425,2.2489791784012754,1.444450977467539
1997,7,3.120501450827489,0.6879862433017471,2.46765662961221,3.2455269559649778,2.3336369219744317,1.2036758606819928
1997,8,1.951931889601141,-0.4907555801946026,1.7133615590345415,2.74014075219419,1.8029316900237706,0.4194968586815401
1997,9,1.504030389704479,0.47873108077762633,2.7148259953535847,2.6239592098156814,2.3981439299935166,0.9813305846900732
1997,10,2.192716405035028,1.3042843313265546,2.973409198731496,3.2779234424430945,2.6059277108882846,1.6602340983451709
1997,11,3.3223604035258973,1.7436360093604364,3.086530381598477,3.689997937585941,2.7465912887384047,2.039584031280155
1997,12,3.536192089442287,1.677009089528028,2.990568079262573,3.885433322465533,2.7532175224025983,1.9012162345006984
1998,1,4.310702352699963,2.775722377492777,3.8597266697362596,4.333142534003929,3.1507227919071186,2.857884517654449
1998,2,3.953093121967313,1.8524213458706442,3.153363491160453,3.9851599753659874,2.9496384504656628,1.9447869372711686
1998,3,4.064808323249735,1.9288299221646907,3.2819814816162163,4.004211284085811,2.8297678999182847,2.4934435086092877
1998,4,3.436033080337949,1.2398467156645057,2.77233937719982,3.643659380030014,2.515383607658882,1.754096395535331
1998,5,2.8063406730791307,0.40276719537615085,2.4248695122611146,3.297369334818335,2.3341576707942093,1.0319393094091331
1998,6,2.5456231607819495,-0.2016666853317203,2.3276872742689236,3.173903183201637,2.1263364744395763,0.7099499909498141
1998,7,1.4970152461078308,-1.4123870468551825,1.8529717546042166,2.7307717484629626,1.7706044494283801,0.19766759361392877
1998,8,0.868847653092963,-1.332792684258657,1.61731631428306,2.3976576216840724,1.6322741248732373,-0.2252245677229974
1998,9,0.5767962433870584,-0.9592536289977545,1.4631095579326991,2.0747971115539086,1.836220461575742,-0.29452890730571013
1998,10,0.8585540534367588,0.319034208153554,2.3371335618343836,2.3856528644280908,2.284154418966037,1.1682647132967592
1998,11,2.1653086644485517,1.8459105002812823,3.2276513456109894,3.3157532419831597,2.858123007965654,2.3501411092105595
1998,12,4.461206217748302,3.0080675071268286,3.9258904081845385,4.517577935594863,3.2314960317122443,2.7747921445851262
1999,1,4.667903021050217,2.8903272827242983,3.821686973302252,4.631506595846779,3.000758553855679,2.7818067592796467
1999,2,4.503366748061577,2.911236540665024,3.851145340162934,4.5140415859676875,3.4067403876332754,2.9969671075722535
1999,3,4.365174902446222,2.246505098862712,3.546489017110329,4.409236036760091,2.9817249807887753,2.514114408855815
1999,4,3.5739139686726107,0.8009207153711208,2.889337154110291,3.8792118394632054,2.43967720635581,1.4190155698979048
1999,5,3.0149499429177147,0.7121047453935075,2.5324350956381196,3.5627136719164256,2.2946714182437566,1.3625167483120006
1999,6,2.503527424199483,0.04514955678739859,2.1223147925103456,3.2701274739128308,2.2230056915949206,0.7669035890538095
1999,7,2.052676548127035,-0.5253860996103747,2.2393596830695555,3.038220090533904,2.1004397090982514,0.23923865796333674
1999,8,1.3376617099561523,-1.1163813041977464,1.800693188425496,2.7527758892328964,1.9891758256871281,-0.13301132645004624
1999,9,0.8153383337325328,-1.5238302370257932,1.649030284686987,2.4831333108191136,1.9786638356030586,0.08300902968137869
1999,10,0.46152273207003164,0.2155213507241923,1.95132205926469,2.5870239081906274,2.021611004752983,0.698967536704251
1999,11,2.9948831906968825,2.5395511954555197,3.5835832483122925,3.717901573516852,3.1259940224500506,2.4759011065183536
1999,12,4.328953198426926,2.673997944956502,3.6457667406564656,4.402342667544755,3.0931737684456215,2.6400627415362354
2000,1,4.034102537181447,1.9443221876509018,3.373490936427814,4.019607493339737,2.997131659192848,1.8311312744161452
2000,2,4.04590755403771,2.1492446039337967,3.404445380400188,3.988357192976752,2.8832800485130745,2.0644792385825235
2000,3,4.050196199354439,1.965586344856667,3.402753193997715,3.9787410495791278,2.8552683802939227,2.1875291085633926
2000,4,3.6829090398139197,0.8652734144133728,2.914118494638991,3.6175517009234865,2.4332959206890448,1.449903447205653
2000,5,3.562158575150468,0.5865453950693674,2.5592179522671517,3.5705755273570565,2.349468270319053,1.3049418571580778
2000,6,3.0321743796351877,0.19958334600826055,2.06806889904088,3.3661274104398426,2.045081153918235,0.9465657795778523
2000,7,1.992458334542278,-1.290508953212548,1.551319894426674,2.934900524648622,1.8099595937423918,-0.03628120354437281
2000,8,1.125056574217878,-1.8143238995066868,1.3262865670722437,2.4660066771661104,2.023533253164983,-0.3576106031518328
2000,9,1.1242634397077926,-0.8982544898293329,1.6730267161542212,2.3913123556438314,2.4254480178979185,0.1453074905072922
2000,10,1.1356545885353195,0.1890659290454121,2.3176277579428994,2.663086039401486,2.50136891263539,0.8644402903976459
2000,11,1.3226639595740113,0.6607384180317953,2.260422585969716,2.9011888484633537,2.40192792360771,1.179955776659414
2000,12,1.546349583711471,0.8654700901828859,2.6110487840602397,2.9762226124834217,2.473321197368488,1.5879730049537801
2001,1,2.6261643834815844,1.0820939204974185,2.871410702703082,3.2749488701279605,2.639065074745095,1.7938770965539157
2001,2,2.6455782807708563,1.2287015080063584,3.0209364196775517,3.3046863347260977,2.564826260142499,1.6569853129377767
2001,3,2.734109983224225,0.707456247730703,2.8510759140521427,3.4079107037802987,2.3154046616085227,1.5787931893180522
2001,4,3.3931115571448225,1.2965964876864096,3.1537948599710206,3.7481726151993104,2.3302752500215753,1.6928750633745304
2001,5,3.092089246892437,0.41777643235053746,2.569483610537796,3.611816598638833,2.0088165371481095,1.2247143092013197
2001,6,2.8705833406626646,0.3875315352170203,2.46825701329792,3.383313072582839,2.0590469805497835,0.8800340976568884
2001,7,1.8031362537638416,-0.9436335594240175,1.8550668156824042,3.043586021733193,1.947649323018546,0.22069674472223924
2001,8,1.188813999500591,-1.068516140482859,1.7581002063329163,2.8662522196057303,1.9905508941711114,-0.04914816332959336
2001,9,0.7835055641638135,-1.101071605040714,1.4759208608879877,2.73773864481438,1.8928401936830315,0.16241647233769613
2001,10,0.8078271939369641,0.3075991087182991,2.306841957719546,2.6485720069747454,2.3345352467791645,0.7533149948544289
2001,11,2.776550720723398,1.8126249534577552,3.5616393541975655,3.6678931761041755,3.0989285977291168,2.4499151639206955
2001,12,4.4093837292930225,2.9983531626514246,3.908718733005787,4.315888220493566,3.211999111133405,2.893738385934588
2002,1,4.19652739298921,2.5564074377928283,3.4913533260437606,4.239940826769391,3.0487656611649823,2.6175801926846867
2002,2,4.218335352836882,2.64064340687889,3.786879073454307,4.281600926703253,3.0723365976796795,2.6624121026511847
2002,3,4.187324546237557,2.36091871001133,3.466830715244245,4.129059555277951,2.7886382500700604,2.3734616584195316
2002,4,4.053215000210486,1.917839627778771,3.2451822400089028,4.090476542349054,2.5225063977615383,2.0842465362733398
2002,5,3.327739707389302,0.9905415561138258,2.60424352113195,3.466498179423451,2.160438977068135,1.445656114633585
2002,6,2.4185135872651946,0.42024636275264177,2.1407906366772043,3.054636470518039,1.7991083313878524,0.9277404085417829
2002,7,1.5240558102619255,-0.3198252220333254,2.000674895179039,2.6732374695244276,1.8645986618064327,0.1508456195238558
2002,8,1.1927999183068356,-1.0562709311623844,1.2042074524685025,2.3261084289133787,1.708888048739528,-1.9706020987636936
2002,9,0.8433465401507786,-1.1812692738290922,1.2796065419283766,2.1666496217541296,1.7740768797434392,-1.89733066062316
2002,10,0.8800525173225996,-0.9048910334245047,1.7158038786779808,2.3197673061349726,1.8094646439654989,-0.6822194111401235
2002,11,0.9025652063534851,-0.038009900586282015,1.9774216622024305,2.5029024693975535,2.4340059114375814,0.48462126949870626
2002,12,1.2423630888797443,0.8936642847295887,2.5226938218079016,2.9262044178221798,2.6987741062118453,1.2777459735222512
2003,1,2.2469366033977547,2.1046799593244683,3.4427706606081685,3.8407832189846696,3.1020699832105105,2.444593139443512
2003,2,3.7220576816081286,1.775130487084623,3.2660575488307964,3.9814356408404943,2.5769124127798086,2.0444272442632405
2003,3,4.038771856981862,2.3166753187452964,3.4710951094178597,4.105500194354683,2.980220994370148,2.4702691226558957
2003,4,3.9195249755702384,1.9353145789353574,3.2131811724674684,4.0139165450849825,2.59601006631724,2.1508439622784543
2003,5,2.8932494042852226,0.45657532876301743,2.532862210324861,3.527373427820431,2.1475372143509035,1.089439988521335
2003,6,1.9290400521101776,-0.48872689172410133,1.8009995665452863,2.9823111672542346,1.892791547953106,-0.006106880284608859
2003,7,1.0881628276845967,-1.596922337218298,1.0716250095705826,2.5270732772131272,1.7050618547513623,-1.5376188349641589
2003,8,0.7959797398226077,-1.7718958149465345,1.0601583057543054,2.310746885893932,1.5101731996741214,-2.45557039489828
2003,9,0.6491950597032262,-0.7055034484494458,1.8449206105980938,2.3518959261445307,1.7097654297502998,-0.9981569377568633
2003,10,1.1383668478505087,0.7956056653069017,3.078903073672807,2.839601655525657,2.5669139634696125,0.6638919981074651
2003,11,2.1257101684928434,1.5426484452066214,3.060671632992233,3.3495368480976837,2.6417414537861967,1.8234125836895407
2003,12,3.9184243161790002,2.1248944796064375,3.3093643438477858,4.087424786097686,2.72183243731458,2.1693523518970053
2004,1,3.9097884136411936,2.1646102298731087,3.595135215309163,4.192410098649917,2.8717759161695113,2.329136510443279
2004,2,4.126465434970673,2.2744872078836265,3.4593915646401547,4.336222846189457,2.657095846446191,1.947905714826247
2004,3,3.515608729324983,1.2552730532654182,2.9587251397254004,3.8287804199897892,2.290645026568835,1.4108906965547776
2004,4,2.7127723510416617,0.26724963779208505,2.2284362542008735,3.436533920302642,1.9064349126155566,0.9574244380052198
2004,5,2.385219172843833,0.03934106211006747,2.0510797248842083,3.1968055818304606,1.9129096068031561,0.29473983806452475
2004,6,2.654510384243194,-0.39934917261797587,1.7497984000892284,3.261929014548153,1.7487934275625936,-0.07344839305820679
