Year,0305,0307,0308,0309,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,3106,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1992,1.2999999999999998,2.1,NA,2,2.25,19.4,NA,1.7333333333333334,2.15,2.5999999999999996,NA,1.8,1.25,3.0999999999999996,2.45,2.7,NA,3.1,3.4000000000000004,2.8,3.9,NA,1.15,5.425,1.45,2.4,2.75,4.75,1.25,1.1,3.1500000000000004,0.575,4,1.8,NA,NA,6.5,1,NA,NA,NA,NA,NA,NA,1.2,2.3,NA,NA,NA,0.8500000000000001,NA,2.1500000000000004,3.05,NA,0.85,1.2999999999999998,NA,NA,1.6,NA,NA,NA,1.65,1.4,NA,1.45,1,NA,NA,1.65,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,2.1500000000000004,2.45,NA,2.9000000000000004,2.1500000000000004,9.95,1.6,2.4,2.75,2.5,NA,2.2,1.2000000000000002,3.25,3.8499999999999996,3.3499999999999996,NA,2.45,2.6500000000000004,4.2749999999999995,3.2,NA,1.65,4.45,2.025,1.95,2.15,4.525,1.4500000000000002,1.4249999999999998,2.825,0.9,3.25,2.175,NA,NA,3.8499999999999996,1.4500000000000002,NA,NA,NA,NA,NA,NA,1.125,2.1,NA,NA,NA,0.6749999999999999,2.55,2.1500000000000004,2.6,NA,0.95,2,NA,0.7,1.4,NA,NA,2.1,1.55,1.7,NA,1.375,0.7,NA,NA,1.85,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,1.3,1.75,NA,2.15,2.1,12.075,1,1.55,1.3,1.25,NA,1.65,1.15,2.2,1.5,2.35,NA,1.85,2.25,1.85,2.3,NA,0.9750000000000001,2.45,1.8666666666666667,2.1,1.85,4.85,0.8,1.2,1.8,0.5,3.8000000000000003,1.45,NA,NA,3.725,1.1,NA,NA,NA,NA,NA,NA,0.6,1.85,NA,NA,NA,0.8,2.75,1.6749999999999998,1.7,NA,0.9,1,NA,0.5,1.4,NA,NA,1.95,1,0.95,NA,1,0.6,NA,NA,1.3,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,1.8,2.3,NA,2.2,1.7,17.5,1.2999999999999998,2.125,4.183333333333334,3.91,NA,3.05,3.4166666666666665,4.716666666666667,4.1499999999999995,2.35,NA,2.35,3.2750000000000004,3.475,3.65,NA,1.2,3.9250000000000003,2.1,2.25,2.45,6.05,0.9,1.05,4.35,0.675,3.75,1.2,2.7,NA,10,0.9,NA,1.75,NA,NA,1.2,NA,0.825,1.9,NA,NA,NA,0.7,2.625,1.6,1.7999999999999998,NA,0.5,1.1,NA,0.5,1.1,NA,NA,2.25,1.35,2.0833333333333335,NA,1.15,0.5,1.9,0.5,1.25,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,3.9,6.2,NA,5.3,3.7,10.983333333333334,1.7000000000000002,3.55,2.4,2.8,NA,4.125,3.35,2.6,3.3499999999999996,2.75,NA,2,2.9000000000000004,3.025,3.125,NA,1.4,4.35,3,1.8,4.6375,7.449999999999999,7.2,2.3,3.3,1.2,2.75,1.6,4.35,2.4,6.5,2.7,NA,2.1,1.4500000000000002,NA,1.6166666666666667,NA,2.8,2.45,NA,NA,NA,1.1,2.9000000000000004,2.85,2.25,NA,1,1.9,NA,0.7,1.4,NA,NA,2.5,1.3,1.7999999999999998,NA,1.7000000000000002,0.95,NA,NA,1.4,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,4,4.7,NA,5,4.1,14,1.4,1.75,1.75,3.4000000000000004,2.55,1.8,2.1,2.6,2,2.875,NA,2.2,2.95,3.4,3.8499999999999996,NA,1.45,4.425000000000001,2.15,2.775,4.4,7.25,3,1.55,3.4,1.3,3.2,1.7,1.5,1.85,4.8,1.5,NA,2.4,1.8,NA,2.9,NA,2.075,3,NA,NA,NA,0.6499999999999999,3.2,2.7,2.6,NA,0.8500000000000001,1.6,NA,0.65,1.1,NA,NA,2.5,1.65,2.425,NA,2.1,1.6,NA,NA,1.5,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,2.4000000000000004,3,NA,3,3.1,14.566666666666666,3.025,3.9625,3,4.35,3.9749999999999996,4.1,5.05,3.5999999999999996,2.8,2.6,NA,3.4000000000000004,4.2,3.675,3.8499999999999996,NA,1.5,5.316666666666666,3.1,2.2,3.175,9.55,1.6,1.75,5.3,0.8500000000000001,4.7625,2.466666666666667,2.925,1.95,6.9,1.45,NA,2.9,2.283333333333333,NA,1.4,NA,1.45,3.4,NA,NA,NA,0.9,3.8499999999999996,1.9,2.5,NA,1.5,2.1,NA,0.8,1.8,NA,NA,2.8,1.5,3.3,NA,2,1.5,NA,NA,1.5,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,2.675,5.824999999999999,NA,4.9,4.4,14,2.3499999999999996,3.45,3.4000000000000004,6.4,1.5,4.616666666666667,10.25,4.5,3.6,3.3499999999999996,NA,4.825,4,3.775,3.9000000000000004,NA,1.7,6.55,2.95,2.1500000000000004,4.275,9.6,3.3,1.6,4,1.3,4.35,3.05,2.05,1.75,7.55,4.05,NA,3.35,2.1500000000000004,NA,1.625,NA,2.3,3.3,NA,NA,NA,1,2.9,2.95,3.5,NA,1.4249999999999998,3.55,NA,0.6499999999999999,1.85,NA,NA,2.95,1.85,2.95,NA,2.85,4.65,NA,NA,2.3,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,2.3333333333333335,4.15,NA,4.05,3.8,16.75,3.4833333333333334,2.1500000000000004,2.9,3.9,1.65,6.8,5.25,4.9,8.6,3.4,NA,4.1,4.6,4.4,5.2,NA,1.35,8.6,4.2,3.75,3.9000000000000004,9.175,1.9,1.875,5.4,1.05,7.15,4.8,3.25,3.05,9.8,2.2,NA,3.05,2.2,NA,1.65,NA,1.2999999999999998,3.05,NA,2.1,NA,1.2999999999999998,6.35,4.933333333333334,4.199999999999999,NA,1.6,3.15,4.1,0.8,2.55,NA,NA,5.4,2.25,3.8,NA,2.55,2,NA,NA,2.5999999999999996,NA,NA,NA,NA,2.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1.435,2.48,NA,2.3,2.46,16.1,3,2.705,5.635,4.425,1.7025000000000001,1.83,3.22,4.199999999999999,2.09,3.4,NA,2.7,3.65,3.83,4.14,NA,1.3,6.297499999999999,2.4299999999999997,1.8,2.56,11.7775,1.3,1.9,4.23,1.2149999999999999,4.735,2.885,0.915,1.8,5.205,1.51,NA,2.89,1.6,NA,1.9649999999999999,NA,0.9216666666666666,3.3,NA,1.4,NA,0.93,3.8325,1.6,3.5,NA,1.6,1.99,3.45,0.53,2.28,NA,NA,2.4350000000000005,2.1,2.0300000000000002,NA,2.28,1.25,NA,NA,2.15,NA,NA,NA,NA,2.1100000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
