Year,0305,0307,0308,0309,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,3106,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1990,30.926580546159087,23.6651551604373,NA,22.277588006166305,19.436700724098827,36.69551339827865,NA,51.79253998246742,22.746038901728063,32.70471130955156,NA,19.900836147569972,24.601755102384423,37.92730308571795,26.432807020350772,17.9925351845354,NA,25.52117321027006,32.70471130955156,23.67680605551548,29.583072713566132,NA,7.984752198791225,68.72171010434708,14.040503295997524,18.942272403253547,20.865750159519607,65.82291503729905,15.038278520749694,15.043576110066292,26.230285244306888,10.956528959540718,42.58044710877226,44.52508997313637,NA,NA,10.956528959540718,10.956528959540718,NA,NA,NA,NA,NA,NA,7.984752198791225,29.148449782766615,NA,NA,NA,10.92558412989127,NA,24.601755102384423,21.809137110604546,NA,13.533162922143937,28.239525565962346,NA,NA,6.545666652537392,NA,NA,NA,14.040503295997524,45.49683349308213,NA,42.58044710877226,49.38014816591583,NA,NA,21.809137110604546,NA,NA,NA,NA,25.52117321027006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,31.378232521807202,17.988354102634062,NA,21.809137110604546,18.954011537226204,40.92003912787996,NA,49.86308258876543,20.865750159519607,27.34444083043148,NA,17.453126727758566,19.91548788991701,45.49683349308213,23.205446106494485,17.9925351845354,NA,22.746038901728063,30.043729114716125,20.865750159519607,27.34444083043148,NA,6.545666652537392,37.06527527714723,13.49629135252129,17.01429446501863,18.475224371408018,53.25541922818737,14.530938146896105,15.911139559530163,24.284147024986225,9.445684673078283,37.06527527714723,49.38014816591583,NA,NA,11.998322293470489,10.92558412989127,NA,NA,NA,NA,NA,NA,9.445684673078283,17.018794646987487,NA,NA,NA,10.185634401484776,NA,18.95791355828064,17.9925351845354,NA,13.019412794734006,34.89546122739332,NA,NA,6.545666652537392,NA,NA,NA,15.043576110066292,50.35009999851344,NA,53.25796203228761,52.28900046986248,NA,NA,21.809137110604546,NA,NA,NA,NA,21.809137110604546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,37.925741601244646,24.59898963289277,NA,22.277588006166305,21.337443635062076,52.773160630900705,NA,44.38519292347502,30.934760446913618,45.49514999762698,NA,24.80051150529607,24.586624920414888,46.10770772976758,28.239525565962346,24.59898963289277,NA,27.796595073725886,34.710953192660504,27.561925879797904,32.277515846582084,NA,6.545666652537392,63.40192494283765,15.286612540779398,25.497394109374177,22.040207609061046,50.347063639919895,8.715218435934753,16.527424196244674,28.22796682859184,7.984752198791225,60.5080953530914,50.35009999851344,NA,NA,11.991175753915533,11.477425626505603,NA,NA,NA,NA,NA,NA,6.545666652537392,24.59898963289277,NA,NA,NA,10.185634401484776,NA,27.34203566711443,17.9925351845354,NA,15.529648971492506,33.56739435010488,NA,NA,6.545666652537392,NA,NA,NA,15.529648971492506,60.03155472354297,NA,57.614405494485865,56.64682743998762,NA,NA,26.435322017208566,NA,NA,NA,NA,35.303956261021426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,37.92730308571795,26.435322017208566,NA,19.91548788991701,16.03118537852689,44.8968953917436,23.083622214877053,65.16596614709427,28.92352466633003,34.44393830208631,NA,24.576788970518013,20.865750159519607,45.49683349308213,27.333591469490877,17.9925351845354,NA,26.375890610208543,39.00017613748376,33.5424683606598,31.803956099242875,NA,10.185634401484776,68.71731534531125,13.025822548290348,25.52117321027006,17.01429446501863,56.643845360045844,14.03469932917832,17.988354102634062,31.0672712229577,10.941056544715995,49.61633890534147,49.135790120195836,NA,NA,15.038278520749694,10.956528959540718,NA,NA,NA,NA,NA,NA,6.545666652537392,30.03522695686054,NA,NA,NA,13.025822548290348,30.043729114716125,24.13360605599906,23.67680605551548,NA,17.01429446501863,34.45946241571914,NA,17.47953199999165,6.545666652537392,NA,NA,30.934760446913618,17.496983651891252,46.95008117309632,NA,53.74228402833431,54.710463310901964,NA,NA,27.57051795207868,NA,NA,NA,NA,27.34203566711443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,41.89621014843841,29.010839309315337,NA,25.06146415632724,21.855697652369543,64.34449804462966,26.435322017208566,61.43318558706494,26.722084344925193,38.6105721854636,NA,25.38354285563434,23.060505325401955,53.9844646883316,28.238358072806065,22.042158281751814,NA,33.64083216574538,41.060703181140966,32.3999874389078,32.197604962609894,NA,6.545666652537392,91.22896078722783,18.748928160026633,30.932716855708456,21.00760986376333,72.87897960988741,11.616792170111397,17.44889464926145,29.238173707544917,9.02791503105382,62.10856597680446,50.7379593978786,NA,NA,16.66659337389728,15.043576110066292,NA,NA,NA,NA,NA,NA,5.48395969291502,28.923806657096634,NA,NA,NA,9.370790468955006,41.81093571056853,27.479071962763747,24.462529472723887,NA,18.28099488041392,40.51471196347394,NA,16.566507822136657,6.574216008383868,NA,NA,38.784691929813405,17.505664915761443,59.11361003235824,NA,56.6466129368211,55.872574915919984,NA,NA,29.496722611418203,NA,NA,NA,NA,29.64024564559618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,32.88085262305441,20.581412288814565,NA,22.090871929298995,20.676260986895727,34.76379319328377,25.57400441130264,47.5220905023004,24.66636614319455,29.245180245480938,NA,19.77388483084586,20.346362930587553,39.21961877769154,24.089606837898337,17.89516856035477,NA,25.318166978268355,37.91156829832484,27.999227279874454,31.37865361129141,NA,4.443641463450797,80.1262624937425,13.065030054461516,24.23245466791807,19.606023856339775,47.53409755301317,6.545666652537392,18.016978071250758,30.55065687790811,8.097963709100615,39.171268058338086,49.719546697586225,31.910180071688707,NA,16.479152275240324,10.914535523691347,NA,44.10083287301667,NA,NA,18.95791355828064,NA,4.352929333062686,25.051332399546833,NA,NA,NA,9.740225260537292,37.47962866418605,22.414702707258726,25.749667588017427,NA,15.24288979317368,35.853005424943554,NA,16.430274832023727,4.9927175928602345,NA,NA,33.256982380210076,21.432448787601857,45.7709634623761,NA,49.18594438453958,49.42855736300549,22.696566622168113,4.437217816129581,25.51903928623885,NA,NA,NA,NA,26.52555537056034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,34.45946241571914,27.34444083043148,NA,29.148449782766615,27.34444083043148,47.115238131808766,20.862312500260778,125.14198904542418,27.755745511632327,30.94560848113195,NA,23.263282374210178,20.327363743832755,49.387973918049916,25.517281061367598,23.806022569784528,NA,29.591754881966956,39.97630987894374,29.793631993938348,28.24874931702029,NA,6.545666652537392,78.58850990422617,14.040503295997524,27.334811496518338,27.796595073725886,82.99456440324897,17.9925351845354,21.330763395822537,31.77356946382681,10.956528959540718,41.45100473334856,52.28900046986248,31.378232521807202,31.378232521807202,16.02893528754246,13.019412794734006,NA,51.760761913998174,34.44348993692401,NA,17.988354102634062,NA,9.666728947996129,30.83843395026156,NA,NA,NA,10.956528959540718,39.21115541966908,27.563348698252966,21.431387346415995,NA,17.9925351845354,55.19493832205663,NA,17.018794646987487,10.956528959540718,NA,NA,34.02169137943516,18.95791355828064,52.28835301144723,NA,54.22660602438101,60.02860547685316,NA,NA,28.900841494367306,NA,NA,NA,NA,25.973097966407952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,45.78828326970798,33.320548445979796,NA,31.378733814442054,32.44021422825272,41.429922261827926,24.71652326196523,78.7756359330232,32.1589864121041,43.17803974428588,11.962471336056355,29.327853611249783,23.67680605551548,45.69113706881411,36.28663447498597,31.466688385724538,NA,33.13654937447227,48.84629903259983,45.156653196932936,45.156686621422175,NA,12.243986898686009,84.86275211877437,18.858554029745513,31.156747130677836,27.977949503914544,100.08329179578838,14.588584625840811,18.812425395892703,35.85293816132044,9.659622195606412,51.94976781733274,53.64545740363493,37.01995811879782,29.99395274414465,22.21172384909585,16.282323231381476,NA,49.574056330267126,40.622095304143826,NA,23.351707498242032,NA,11.440581963523037,38.61467235558762,NA,NA,NA,10.500707923723086,57.80792227540952,36.48477620370694,32.26369117552083,NA,17.06740980247035,48.70097795115035,NA,17.530106875217722,12.032980035074523,NA,NA,36.11332262031956,26.381101900727767,59.7889402332753,NA,62.61527206887547,67.94996457304987,NA,NA,32.528246029606905,NA,NA,NA,NA,34.717988927679386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,35.668150110422076,31.40011514718603,NA,19.150036129003524,22.372033154214254,39.00361313667574,21.116904097641818,85.75872134300505,31.978023472310777,39.463419286968715,8.911662294876663,29.33147599425783,20.2012776252853,52.87379989290738,32.32942496030111,19.245981725515218,NA,32.57078285436327,38.95762223097489,30.622703244571454,25.152042966038405,NA,2.6749600594380363,72.64031182750276,15.585054671891893,31.64445694306538,26.142988864681364,88.04443866553133,11.402786828393799,18.983656576393983,31.585997953217174,7.549037496874198,57.50875042916066,48.943245216523884,35.58024568310594,27.887496135128877,17.457953646516508,12.834645864989707,NA,51.656039024363295,38.82865184388402,NA,24.757164416068697,NA,4.788415914166034,24.139989254493713,NA,NA,NA,8.790656137029886,42.62904189823197,29.058681657971558,24.23245466791807,NA,16.430274832023727,42.77498224457897,NA,17.018794646987487,4.853339812664162,NA,NA,40.45053341231386,21.715096354103736,59.69321222293832,NA,60.99869025022922,62.641235920892186,NA,NA,28.06826250170747,NA,NA,NA,NA,32.52841811775651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,46.03155235673184,42.924514577254754,NA,22.746008242508175,22.92830213153989,54.02261673124767,22.083694369818808,47.75033077959592,23.582253991437845,29.23902473075176,7.276797891839235,20.22062821261239,19.485277300235424,40.55618076233256,25.61279488250679,17.790155480513626,NA,24.272388756568514,32.116430924676116,26.045189460104574,24.939638188231267,NA,2.808802110650108,70.32320363978253,12.233021376670049,20.625695885918965,23.190442244454633,39.605748866203754,9.91774418431014,17.43206703200367,25.81469497695906,5.876914804388015,49.23908347821897,43.84463090820755,28.969368488834956,24.96232854260756,13.604944100649778,9.951617026547963,NA,41.97736958883518,35.44390916788697,NA,20.545372071130693,NA,4.974194812724609,20.676260986895727,NA,NA,NA,8.486992993998143,35.67929264733143,24.902028264770866,20.818395148563422,NA,13.120166921161063,40.19620224661506,NA,16.38106878993664,4.368573743923695,NA,NA,33.046049446602645,13.67879950920617,53.160978453311444,NA,52.96717783565191,56.25962908538373,NA,NA,25.70274644442864,NA,NA,NA,NA,28.923806657096634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
