Locator,Year,Month,Parameter,Value,Units,AveQ (cfs)
0311,1973,Oct,Nitrite + Nitrate Nitrogen,313.904,ug/L,
0311,1973,Oct,Temperature,11.850000000000001,deg C,
0311,1973,Nov,Ammonia Nitrogen,60,ug/L,
0311,1973,Nov,Fecal Coliform,20,CFU/100ml,
0311,1973,Nov,Nitrite + Nitrate Nitrogen,406.5005,ug/L,
0311,1973,Nov,Temperature,7.5,deg C,
0311,1973,Dec,Ammonia Nitrogen,45,ug/L,
0311,1973,Dec,Fecal Coliform,100,CFU/100ml,
0311,1973,Dec,Nitrite + Nitrate Nitrogen,416.24750000000006,ug/L,
0311,1973,Dec,Temperature,6.55,deg C,
0311,1974,Jan,Ammonia Nitrogen,60,ug/L,
0311,1974,Jan,Fecal Coliform,51.666666666666664,CFU/100ml,
0311,1974,Jan,Nitrite + Nitrate Nitrogen,430.868,ug/L,
0311,1974,Jan,Temperature,3.966666666666667,deg C,
0311,1974,Feb,Ammonia Nitrogen,50,ug/L,
0311,1974,Feb,Fecal Coliform,90,CFU/100ml,
0311,1974,Feb,Nitrite + Nitrate Nitrogen,489.35,ug/L,
0311,1974,Feb,Temperature,5.550000000000001,deg C,
0311,1974,Mar,Ammonia Nitrogen,35,ug/L,
0311,1974,Mar,Fecal Coliform,41,CFU/100ml,
0311,1974,Mar,Nitrite + Nitrate Nitrogen,460.109,ug/L,
0311,1974,Mar,Temperature,4.75,deg C,
0311,1974,Apr,Ammonia Nitrogen,40,ug/L,
0311,1974,Apr,Fecal Coliform,37.5,CFU/100ml,
0311,1974,Apr,Nitrite + Nitrate Nitrogen,333.398,ug/L,
0311,1974,Apr,Temperature,8.5,deg C,
0311,1974,May,Ammonia Nitrogen,15,ug/L,
0311,1974,May,Fecal Coliform,70,CFU/100ml,
0311,1974,May,Nitrite + Nitrate Nitrogen,167.699,ug/L,
0311,1974,May,Temperature,7.5,deg C,
0311,1974,Jun,Ammonia Nitrogen,30,ug/L,
0311,1974,Jun,Fecal Coliform,28.5,CFU/100ml,
0311,1974,Jun,Nitrite + Nitrate Nitrogen,216.434,ug/L,
0311,1974,Jun,Temperature,11.8,deg C,
0311,1974,Jul,Ammonia Nitrogen,30,ug/L,
0311,1974,Jul,Fecal Coliform,28.5,CFU/100ml,
0311,1974,Jul,Nitrite + Nitrate Nitrogen,196.94,ug/L,
0311,1974,Jul,Temperature,15.25,deg C,
0311,1974,Aug,Ammonia Nitrogen,40,ug/L,
0311,1974,Aug,Fecal Coliform,155.5,CFU/100ml,
0311,1974,Aug,Nitrite + Nitrate Nitrogen,313.904,ug/L,
0311,1974,Aug,Temperature,15.75,deg C,
0311,1974,Sep,Ammonia Nitrogen,50,ug/L,
0311,1974,Sep,Fecal Coliform,104,CFU/100ml,
0311,1974,Sep,Nitrite + Nitrate Nitrogen,382.13300000000004,ug/L,
0311,1974,Sep,Temperature,16.35,deg C,
0311,1974,Oct,Ammonia Nitrogen,120,ug/L,
0311,1974,Oct,Fecal Coliform,101.5,CFU/100ml,
0311,1974,Oct,Nitrite + Nitrate Nitrogen,523.4645,ug/L,
0311,1974,Oct,Temperature,10.9,deg C,
0311,1974,Nov,Ammonia Nitrogen,885,ug/L,
0311,1974,Nov,Fecal Coliform,1000,CFU/100ml,
0311,1974,Nov,Nitrite + Nitrate Nitrogen,675.4105,ug/L,
0311,1974,Nov,Temperature,9.5,deg C,
0311,1974,Dec,Ammonia Nitrogen,60,ug/L,
0311,1974,Dec,Fecal Coliform,415,CFU/100ml,
0311,1974,Dec,Nitrite + Nitrate Nitrogen,479.603,ug/L,
0311,1974,Dec,Temperature,6.966666666666667,deg C,
0311,1975,Jan,Ammonia Nitrogen,60,ug/L,
0311,1975,Jan,Fecal Coliform,115,CFU/100ml,
0311,1975,Jan,Nitrite + Nitrate Nitrogen,551.2615000000001,ug/L,
0311,1975,Jan,Temperature,4.6,deg C,
0311,1975,Jan,Total Phosphorus,166.86347954081208,ug/L,
0311,1975,Feb,Ammonia Nitrogen,50,ug/L,
0311,1975,Feb,Fecal Coliform,158.5,CFU/100ml,
0311,1975,Feb,Nitrite + Nitrate Nitrogen,435.7415,ug/L,
0311,1975,Feb,Temperature,5.333333333333333,deg C,
0311,1975,Feb,Total Phosphorus,248.72704472861005,ug/L,
0311,1975,Mar,Ammonia Nitrogen,60,ug/L,
0311,1975,Mar,Fecal Coliform,21.5,CFU/100ml,
0311,1975,Mar,Nitrite + Nitrate Nitrogen,411.374,ug/L,
0311,1975,Mar,Temperature,5.9,deg C,
0311,1975,Mar,Total Phosphorus,118.89434329427647,ug/L,
0311,1975,Apr,Ammonia Nitrogen,50,ug/L,
0311,1975,Apr,Fecal Coliform,85.5,CFU/100ml,
0311,1975,Apr,Nitrite + Nitrate Nitrogen,279.7895,ug/L,
0311,1975,Apr,Temperature,7.95,deg C,
0311,1975,Apr,Total Phosphorus,83.79970016950665,ug/L,
0311,1975,May,Ammonia Nitrogen,20,ug/L,
0311,1975,May,Fecal Coliform,59,CFU/100ml,
0311,1975,May,Nitrite + Nitrate Nitrogen,104.3435,ug/L,
0311,1975,May,Temperature,10.25,deg C,
0311,1975,May,Total Phosphorus,123.87593699990583,ug/L,
0311,1975,Jun,Ammonia Nitrogen,45,ug/L,
0311,1975,Jun,Fecal Coliform,75,CFU/100ml,
0311,1975,Jun,Nitrite + Nitrate Nitrogen,240.8015,ug/L,
0311,1975,Jun,Temperature,14.45,deg C,
0311,1975,Jun,Total Phosphorus,113.65817885414302,ug/L,
0311,1975,Jul,Ammonia Nitrogen,40,ug/L,
0311,1975,Jul,Fecal Coliform,226.5,CFU/100ml,
0311,1975,Jul,Nitrite + Nitrate Nitrogen,216.43400000000003,ug/L,
0311,1975,Jul,Temperature,18,deg C,
0311,1975,Jul,Total Phosphorus,150.04660211773574,ug/L,
0311,1975,Aug,Ammonia Nitrogen,65,ug/L,
0311,1975,Aug,Fecal Coliform,375,CFU/100ml,
0311,1975,Aug,Nitrite + Nitrate Nitrogen,270.0425,ug/L,
0311,1975,Aug,Temperature,15.65,deg C,
