"","Year","Locator","mg/L"
"613",1995,"B484",8.55
"614",1995,"C320",10.5
"615",1995,"C370",11
"616",1995,"D320",11
"617",1995,"G320",10
"618",1995,"KSHZ06",11
"619",1995,"KTHA03",11
"620",1995,"N484",11
"621",1995,"VA12A",NA
"622",1995,"VA41A",NA
"623",1995,"VA42A",NA
"624",1995,"VA45A",NA
"625",1996,"0311",10.1
"626",1996,"0317",6.15
"627",1996,"0321",10.8
"628",1996,"0322",10.9875
"629",1996,"0430",10.75
"630",1996,"0434",10.375
"631",1996,"0438",NA
"632",1996,"0440",10.85
"633",1996,"0442",10.85
"634",1996,"0444",8.2
"635",1996,"0446",10.3
"636",1996,"0470",9.45
"637",1996,"0474",10.3
"638",1996,"0478",10.9
"639",1996,"0484",10.2
"640",1996,"0631",10.9
"641",1996,"A315",5.4
"642",1996,"A320",10.925
"643",1996,"A432",10.6
"644",1996,"A456",9.6
"645",1996,"A499",10.85
"646",1996,"A617",10.9
"647",1996,"A620",10.8
"648",1996,"A630",10.7416666666667
"649",1996,"A680",10.525
"650",1996,"A685",11.15
"651",1996,"A690",11.1666666666667
"652",1996,"B484",8.3
"653",1996,"C320",10.5
"654",1996,"C370",10.6
"655",1996,"D320",10.4
"656",1996,"G320",10.3
"657",1996,"KSHZ06",10.6833333333333
"658",1996,"KTHA03",11.05
"659",1996,"N484",10.5
"660",1996,"VA12A",NA
"661",1996,"VA41A",NA
"662",1996,"VA42A",NA
"663",1996,"VA45A",NA
"664",1997,"0311",11.5
"665",1997,"0317",5.1
"666",1997,"0321",11.1
"667",1997,"0322",11.5333333333333
"668",1997,"0430",11.7333333333333
"669",1997,"0434",11.3666666666667
"670",1997,"0438",11.35
"671",1997,"0440",11.5333333333333
"672",1997,"0442",11.7
"673",1997,"0444",9.7
"674",1997,"0446",11.5
"675",1997,"0470",10.95
"676",1997,"0474",11.35
"677",1997,"0478",11.225
"678",1997,"0484",10.975
"679",1997,"0631",11.15
"680",1997,"A315",5.7
"681",1997,"A320",11.475
"682",1997,"A432",11.7
"683",1997,"A456",10.95
"684",1997,"A499",11.25
"685",1997,"A617",11.725
"686",1997,"A620",11.55
"687",1997,"A630",11.6
"688",1997,"A680",11.4
"689",1997,"A685",11.45
"690",1997,"A690",11.6
"691",1997,"B484",9.6
"692",1997,"C320",11.1
"693",1997,"C370",11.2
"694",1997,"D320",11.15
"695",1997,"G320",11.35
"696",1997,"KSHZ06",11.575
"697",1997,"KTHA03",11.75
"698",1997,"N484",11.125
"699",1997,"VA12A",NA
"700",1997,"VA41A",NA
"701",1997,"VA42A",NA
"702",1997,"VA45A",NA
"703",1998,"0311",10
"704",1998,"0317",6.15
"705",1998,"0321",10.625
"706",1998,"0322",11.3
"707",1998,"0430",10.53
"708",1998,"0434",10.55
"709",1998,"0438",10.7
"710",1998,"0440",10.875
"711",1998,"0442",10.5
"712",1998,"0444",9.8
"713",1998,"0446",10.5
"714",1998,"0470",10
"715",1998,"0474",11.3
"716",1998,"0478",10.9875
"717",1998,"0484",11
"718",1998,"0631",11.1
"719",1998,"A315",6.71666666666667
"720",1998,"A320",11.5
"721",1998,"A432",10.7333333333333
"722",1998,"A456",9.6375
"723",1998,"A499",10.8583333333333
"724",1998,"A617",11.3
"725",1998,"A620",10.75
"726",1998,"A630",10.3
"727",1998,"A680",9.925
"728",1998,"A685",10.9833333333333
"729",1998,"A690",11.075
"730",1998,"B484",8.8
"731",1998,"C320",10.7
"732",1998,"C370",10.75
"733",1998,"D320",10.6
"734",1998,"G320",10.55
"735",1998,"KSHZ06",10.8833333333333
"736",1998,"KTHA03",11
"737",1998,"N484",10.6
"738",1998,"VA12A",NA
"739",1998,"VA41A",NA
"740",1998,"VA42A",NA
"741",1998,"VA45A",NA
"742",1999,"0311",10.3
"743",1999,"0317",6.475
"744",1999,"0321",10.75
"745",1999,"0322",11.55
"746",1999,"0430",11.125
"747",1999,"0434",10.75
"748",1999,"0438",11.3
"749",1999,"0440",11.125
"750",1999,"0442",11.1
"751",1999,"0444",9.95
"752",1999,"0446",11.2
"753",1999,"0470",10.05
"754",1999,"0474",11.05
"755",1999,"0478",11.2
"756",1999,"0484",11
"757",1999,"0631",11.5
"758",1999,"A315",7.6
"759",1999,"A320",11.575
"760",1999,"A432",10.85
"761",1999,"A456",9.8
