"","Year","Locator","CFU/100mL"
"127",1983,"A432",200
"128",1983,"A456",330
"129",1983,"A499",25
"130",1983,"A617",NA
"131",1983,"A620",NA
"132",1983,"A630",450
"133",1983,"A680",NA
"134",1983,"A685",NA
"135",1983,"A690",NA
"136",1983,"B484",350
"137",1983,"C320",20
"138",1983,"C370",NA
"139",1983,"D320",48
"140",1983,"G320",920
"141",1983,"KSHZ06",NA
"142",1983,"KTHA03",NA
"143",1983,"N484",180
"144",1983,"VA42A",NA
"145",1984,"0311",130.7
"146",1984,"0317",790
"147",1984,"0321",NA
"148",1984,"0322",470
"149",1984,"0430",720
"150",1984,"0434",585
"151",1984,"0438",NA
"152",1984,"0440",145
"153",1984,"0442",91
"154",1984,"0444",315
"155",1984,"0446",470
"156",1984,"0470",350
"157",1984,"0474",530
"158",1984,"0478",195
"159",1984,"0484",665
"160",1984,"0631",100
"161",1984,"A315",1800
"162",1984,"A320",68
"163",1984,"A432",255
"164",1984,"A456",205
"165",1984,"A499",56
"166",1984,"A617",NA
"167",1984,"A620",NA
"168",1984,"A630",175
"169",1984,"A680",NA
"170",1984,"A685",NA
"171",1984,"A690",NA
"172",1984,"B484",170
"173",1984,"C320",16.5
"174",1984,"C370",NA
"175",1984,"D320",84
"176",1984,"G320",365
"177",1984,"KSHZ06",NA
"178",1984,"KTHA03",NA
"179",1984,"N484",130
"180",1984,"VA42A",NA
"181",1985,"0311",150.875
"182",1985,"0317",320
"183",1985,"0321",NA
"184",1985,"0322",315
"185",1985,"0430",405
"186",1985,"0434",490
"187",1985,"0438",NA
"188",1985,"0440",125
"189",1985,"0442",54.5
"190",1985,"0444",215
"191",1985,"0446",125
"192",1985,"0470",180
"193",1985,"0474",220
"194",1985,"0478",190
"195",1985,"0484",320
"196",1985,"0631",130
"197",1985,"A315",870
"198",1985,"A320",49
"199",1985,"A432",165
"200",1985,"A456",250
"201",1985,"A499",12
"202",1985,"A617",NA
"203",1985,"A620",NA
"204",1985,"A630",190
"205",1985,"A680",NA
"206",1985,"A685",NA
"207",1985,"A690",NA
"208",1985,"B484",130
"209",1985,"C320",23.5
"210",1985,"C370",NA
"211",1985,"D320",42
"212",1985,"G320",240
"213",1985,"KSHZ06",NA
"214",1985,"KTHA03",NA
"215",1985,"N484",130
"216",1985,"VA42A",NA
"217",1986,"0311",111.375
"218",1986,"0317",280
"219",1986,"0321",NA
"220",1986,"0322",340
"221",1986,"0430",300
"222",1986,"0434",600
"223",1986,"0438",NA
"224",1986,"0440",67
"225",1986,"0442",40
"226",1986,"0444",190
"227",1986,"0446",600
"228",1986,"0470",250
"229",1986,"0474",330
"230",1986,"0478",220
"231",1986,"0484",870
"232",1986,"0631",100
"233",1986,"A315",390
"234",1986,"A320",43
"235",1986,"A432",290
"236",1986,"A456",310
"237",1986,"A499",22
"238",1986,"A617",NA
"239",1986,"A620",NA
"240",1986,"A630",120
"241",1986,"A680",NA
"242",1986,"A685",NA
"243",1986,"A690",NA
"244",1986,"B484",160
"245",1986,"C320",25
"246",1986,"C370",NA
"247",1986,"D320",70
"248",1986,"G320",350
"249",1986,"KSHZ06",NA
"250",1986,"KTHA03",NA
"251",1986,"N484",170
"252",1986,"VA42A",NA
"253",1987,"0311",175
"254",1987,"0317",935
"255",1987,"0321",NA
"256",1987,"0322",195
"257",1987,"0430",385
"258",1987,"0434",716
"259",1987,"0438",NA
"260",1987,"0440",98.5
"261",1987,"0442",52
"262",1987,"0444",207
"263",1987,"0446",642
"264",1987,"0470",260
"265",1987,"0474",836.5
"266",1987,"0478",103
"267",1987,"0484",781.75
"268",1987,"0631",146
"269",1987,"A315",651.5
"270",1987,"A320",63
"271",1987,"A432",345
"272",1987,"A456",475
"273",1987,"A499",42
"274",1987,"A617",NA
"275",1987,"A620",NA
"276",1987,"A630",150.5
"277",1987,"A680",NA
"278",1987,"A685",NA
"279",1987,"A690",NA
"280",1987,"B484",120
"281",1987,"C320",24.5
"282",1987,"C370",NA
"283",1987,"D320",51.5
"284",1987,"G320",315
"285",1987,"KSHZ06",NA
"286",1987,"KTHA03",NA
"287",1987,"N484",88
"288",1987,"VA42A",NA
"289",1988,"0311",110.375
"290",1988,"0317",468.333333333333
"291",1988,"0321",NA
"292",1988,"0322",480
"293",1988,"0430",220
"294",1988,"0434",520
"295",1988,"0438",NA
"296",1988,"0440",52
"297",1988,"0442",125
"298",1988,"0444",215
"299",1988,"0446",452
"300",1988,"0470",235
"301",1988,"0474",170
"302",1988,"0478",115
"303",1988,"0484",648
"304",1988,"0631",135
"305",1988,"A315",250
"306",1988,"A320",46
"307",1988,"A432",245
"308",1988,"A456",115
"309",1988,"A499",33
"310",1988,"A617",NA
"311",1988,"A620",NA
"312",1988,"A630",90
"313",1988,"A680",25
"314",1988,"A685",NA
"315",1988,"A690",7
"316",1988,"B484",120
"317",1988,"C320",28
"318",1988,"C370",NA
"319",1988,"D320",52
"320",1988,"G320",403.5
"321",1988,"KSHZ06",121.5
"322",1988,"KTHA03",71.25
"323",1988,"N484",125
"324",1988,"VA42A",NA
"325",1989,"0311",176.4
"326",1989,"0317",360
"327",1989,"0321",NA
"328",1989,"0322",445
"329",1989,"0430",600
"330",1989,"0434",540
"331",1989,"0438",NA
"332",1989,"0440",135
"333",1989,"0442",217.5
"334",1989,"0444",190
"335",1989,"0446",433.5
"336",1989,"0470",155
"337",1989,"0474",385
"338",1989,"0478",350
"339",1989,"0484",1260
"340",1989,"0631",105
"341",1989,"A315",370
"342",1989,"A320",63
"343",1989,"A432",371
"344",1989,"A456",125
"345",1989,"A499",47.5
"346",1989,"A617",NA
"347",1989,"A620",NA
"348",1989,"A630",165
"349",1989,"A680",NA
"350",1989,"A685",NA
"351",1989,"A690",NA
"352",1989,"B484",75
"353",1989,"C320",28.5
"354",1989,"C370",NA
"355",1989,"D320",63
"356",1989,"G320",609.5
"357",1989,"KSHZ06",215
"358",1989,"KTHA03",63.5
"359",1989,"N484",165
"360",1989,"VA42A",NA
"361",1990,"0311",180
"362",1990,"0317",771.75
"363",1990,"0321",NA
"364",1990,"0322",530
"365",1990,"0430",330
"366",1990,"0434",1700
"367",1990,"0438",NA
"368",1990,"0440",80
"369",1990,"0442",835
"370",1990,"0444",510
"371",1990,"0446",774
"372",1990,"0470",150
"373",1990,"0474",160
"374",1990,"0478",170
"375",1990,"0484",897.25
"376",1990,"0631",215
"377",1990,"A315",900
"378",1990,"A320",95
"379",1990,"A432",390
"380",1990,"A456",200
"381",1990,"A499",36
"382",1990,"A617",NA
"383",1990,"A620",NA
"384",1990,"A630",240
"385",1990,"A680",NA
"386",1990,"A685",NA
"387",1990,"A690",NA
"388",1990,"B484",90
"389",1990,"C320",30
"390",1990,"C370",NA
"391",1990,"D320",57
"392",1990,"G320",634
"393",1990,"KSHZ06",220
"394",1990,"KTHA03",70
"395",1990,"N484",210
"396",1990,"VA42A",NA
"397",1991,"0311",135
"398",1991,"0317",775
"399",1991,"0321",NA
"400",1991,"0322",3300
"401",1991,"0430",260
"402",1991,"0434",550
"403",1991,"0438",NA
"404",1991,"0440",150
"405",1991,"0442",272.5
"406",1991,"0444",700
"407",1991,"0446",556.75
"408",1991,"0470",110
"409",1991,"0474",100
"410",1991,"0478",170
"411",1991,"0484",1705
"412",1991,"0631",335
"413",1991,"A315",775
"414",1991,"A320",54
"415",1991,"A432",344.666666666667
"416",1991,"A456",160
"417",1991,"A499",23
"418",1991,"A617",NA
"419",1991,"A620",NA
"420",1991,"A630",200
"421",1991,"A680",NA
"422",1991,"A685",NA
"423",1991,"A690",NA
"424",1991,"B484",60
"425",1991,"C320",19.5
"426",1991,"C370",NA
"427",1991,"D320",76.5
"428",1991,"G320",300
"429",1991,"KSHZ06",190
"430",1991,"KTHA03",110
"431",1991,"N484",100
"432",1991,"VA42A",NA
"433",1992,"0311",60
"434",1992,"0317",475
"435",1992,"0321",NA
"436",1992,"0322",150
"437",1992,"0430",410
"438",1992,"0434",1350
"439",1992,"0438",NA
"440",1992,"0440",49.5
"441",1992,"0442",150
"442",1992,"0444",225
"443",1992,"0446",220
"444",1992,"0470",90
"445",1992,"0474",110
"446",1992,"0478",210
"447",1992,"0484",1166.66666666667
"448",1992,"0631",145
"449",1992,"A315",415
"450",1992,"A320",60
"451",1992,"A432",405
"452",1992,"A456",310
"453",1992,"A499",22
"454",1992,"A617",NA
"455",1992,"A620",NA
"456",1992,"A630",150
"457",1992,"A680",NA
"458",1992,"A685",NA
"459",1992,"A690",NA
"460",1992,"B484",60
"461",1992,"C320",44
"462",1992,"C370",NA
"463",1992,"D320",38.5
"464",1992,"G320",205
"465",1992,"KSHZ06",155
"466",1992,"KTHA03",54.5
"467",1992,"N484",105
"468",1992,"VA42A",NA
"469",1993,"0311",95
"470",1993,"0317",180
"471",1993,"0321",60.5
"472",1993,"0322",211.416666666667
"473",1993,"0430",645
"474",1993,"0434",1662.5
"475",1993,"0438",NA
"476",1993,"0440",93.1666666666667
"477",1993,"0442",61.5
"478",1993,"0444",260
"479",1993,"0446",464.75
"480",1993,"0470",270
"481",1993,"0474",235
"482",1993,"0478",275
"483",1993,"0484",665
"484",1993,"0631",120.5
"485",1993,"A315",190
"486",1993,"A320",76.5
"487",1993,"A432",437.5
"488",1993,"A456",715
"489",1993,"A499",190.75
"490",1993,"A617",NA
"491",1993,"A620",NA
"492",1993,"A630",145
"493",1993,"A680",NA
"494",1993,"A685",NA
"495",1993,"A690",NA
"496",1993,"B484",51
"497",1993,"C320",37
"498",1993,"C370",370
"499",1993,"D320",26.5
"500",1993,"G320",170
"501",1993,"KSHZ06",376
"502",1993,"KTHA03",74.5
"503",1993,"N484",165
"504",1993,"VA42A",NA
"505",1994,"0311",150
"506",1994,"0317",180
"507",1994,"0321",32.5
"508",1994,"0322",190
"509",1994,"0430",255
"510",1994,"0434",551.666666666667
"511",1994,"0438",NA
"512",1994,"0440",86.25
"513",1994,"0442",170
"514",1994,"0444",167.5
"515",1994,"0446",302.5
"516",1994,"0470",142.5
"517",1994,"0474",145
"518",1994,"0478",205
"519",1994,"0484",485
"520",1994,"0631",172.5
"521",1994,"A315",505
"522",1994,"A320",45
"523",1994,"A432",385
"524",1994,"A456",210
"525",1994,"A499",45
"526",1994,"A617",NA
"527",1994,"A620",NA
"528",1994,"A630",138.25
"529",1994,"A680",NA
"530",1994,"A685",NA
"531",1994,"A690",NA
"532",1994,"B484",54.5
"533",1994,"C320",34
"534",1994,"C370",145
"535",1994,"D320",46.5
"536",1994,"G320",195
"537",1994,"KSHZ06",155
"538",1994,"KTHA03",58.25
"539",1994,"N484",127.5
"540",1994,"VA42A",NA
"541",1995,"0311",74
"542",1995,"0317",330
"543",1995,"0321",67.5
"544",1995,"0322",485
"545",1995,"0430",816.666666666667
"546",1995,"0434",2062.5
"547",1995,"0438",NA
"548",1995,"0440",327.5
"549",1995,"0442",387.166666666667
"550",1995,"0444",460
"551",1995,"0446",643.333333333333
"552",1995,"0470",356.75
"553",1995,"0474",282.5
"554",1995,"0478",322.5
"555",1995,"0484",983.333333333333
"556",1995,"0631",175.666666666667
"557",1995,"A315",580
"558",1995,"A320",171.75
"559",1995,"A432",825
"560",1995,"A456",590
"561",1995,"A499",58.75
"562",1995,"A617",302.25
"563",1995,"A620",NA
"564",1995,"A630",300
"565",1995,"A680",110
"566",1995,"A685",NA
"567",1995,"A690",57.1666666666667
"568",1995,"B484",59.5
"569",1995,"C320",55
"570",1995,"C370",430
"571",1995,"D320",50
"572",1995,"G320",205
"573",1995,"KSHZ06",490
"574",1995,"KTHA03",85
"575",1995,"N484",92.5
"576",1995,"VA42A",NA
"577",1996,"0311",140
"578",1996,"0317",135
"579",1996,"0321",59.5
"580",1996,"0322",147.833333333333
"581",1996,"0430",297.5
"582",1996,"0434",798.333333333333
"583",1996,"0438",NA
"584",1996,"0440",143.25
"585",1996,"0442",130
"586",1996,"0444",245
"587",1996,"0446",280
"588",1996,"0470",205
"589",1996,"0474",290
"590",1996,"0478",252.5
"591",1996,"0484",470
"592",1996,"0631",160
"593",1996,"A315",540
"594",1996,"A320",102.75
"595",1996,"A432",385
"596",1996,"A456",435
"597",1996,"A499",108.333333333333
"598",1996,"A617",87.25
"599",1996,"A620",495
"600",1996,"A630",237.5
"601",1996,"A680",113
"602",1996,"A685",46.25
"603",1996,"A690",27.5
"604",1996,"B484",67.5
"605",1996,"C320",36
"606",1996,"C370",470
"607",1996,"D320",35
"608",1996,"G320",220
"609",1996,"KSHZ06",400
"610",1996,"KTHA03",155
"611",1996,"N484",220
"612",1996,"VA42A",NA
"613",1997,"0311",60
"614",1997,"0317",88
"615",1997,"0321",25
"616",1997,"0322",221.333333333333
"617",1997,"0430",210
"618",1997,"0434",842.5
"619",1997,"0438",46.5
"620",1997,"0440",60
"621",1997,"0442",54.3333333333333
"622",1997,"0444",200
"623",1997,"0446",240
"624",1997,"0470",130
"625",1997,"0474",130
"626",1997,"0478",150
"627",1997,"0484",205
"628",1997,"0631",180.25
"629",1997,"A315",330
"630",1997,"A320",44.5
"631",1997,"A432",212.5
"632",1997,"A456",160
"633",1997,"A499",44.25
"634",1997,"A617",50.5
"635",1997,"A620",380
"636",1997,"A630",88.5
"637",1997,"A680",65.25
"638",1997,"A685",55.75
"639",1997,"A690",30
"640",1997,"B484",48
"641",1997,"C320",54
"642",1997,"C370",330
"643",1997,"D320",39
"644",1997,"G320",140
"645",1997,"KSHZ06",240
"646",1997,"KTHA03",74.5
"647",1997,"N484",135
"648",1997,"VA42A",NA
"649",1998,"0311",47.5
"650",1998,"0317",290
"651",1998,"0321",95
"652",1998,"0322",1750
"653",1998,"0430",430
"654",1998,"0434",1600
"655",1998,"0438",170
"656",1998,"0440",390
"657",1998,"0442",200
"658",1998,"0444",368
"659",1998,"0446",460
"660",1998,"0470",190
"661",1998,"0474",220
"662",1998,"0478",302.5
"663",1998,"0484",350.833333333333
"664",1998,"0631",280
"665",1998,"A315",400
"666",1998,"A320",160
"667",1998,"A432",340
"668",1998,"A456",300
"669",1998,"A499",112.5
"670",1998,"A617",200
"671",1998,"A620",645
"672",1998,"A630",319.5
"673",1998,"A680",82
"674",1998,"A685",122
"675",1998,"A690",24
"676",1998,"B484",40
"677",1998,"C320",49.5
"678",1998,"C370",1100
"679",1998,"D320",57
"680",1998,"G320",61.5
"681",1998,"KSHZ06",440
"682",1998,"KTHA03",53
"683",1998,"N484",120
"684",1998,"VA42A",NA
"685",1999,"0311",43
"686",1999,"0317",130
"687",1999,"0321",47.5
"688",1999,"0322",130
"689",1999,"0430",360
"690",1999,"0434",861.25
"691",1999,"0438",118.5
"692",1999,"0440",188.5
"693",1999,"0442",53
"694",1999,"0444",160
"695",1999,"0446",506.75
"696",1999,"0470",115
"697",1999,"0474",125.5
"698",1999,"0478",252.5
"699",1999,"0484",167.5
"700",1999,"0631",67.5
"701",1999,"A315",405
"702",1999,"A320",50
"703",1999,"A432",205
"704",1999,"A456",165
"705",1999,"A499",64
"706",1999,"A617",56
"707",1999,"A620",545.25
"708",1999,"A630",125
"709",1999,"A680",113.5
"710",1999,"A685",46.25
"711",1999,"A690",17.1666666666667
"712",1999,"B484",39
"713",1999,"C320",40.25
"714",1999,"C370",435
"715",1999,"D320",29.5
"716",1999,"G320",150
"717",1999,"KSHZ06",255
"718",1999,"KTHA03",143.5
"719",1999,"N484",140
"720",1999,"VA42A",NA
"721",2000,"0311",50
"722",2000,"0317",277.5
"723",2000,"0321",130
"724",2000,"0322",81.5
"725",2000,"0430",730
"726",2000,"0434",1311
"727",2000,"0438",224.125
"728",2000,"0440",225
"729",2000,"0442",177.5
"730",2000,"0444",340
"731",2000,"0446",1012.5
"732",2000,"0470",200
"733",2000,"0474",195
"734",2000,"0478",275
"735",2000,"0484",173
"736",2000,"0631",157.75
"737",2000,"A315",387.5
"738",2000,"A320",70
"739",2000,"A432",460
"740",2000,"A456",343.5
"741",2000,"A499",150
"742",2000,"A617",204.916666666667
"743",2000,"A620",1084.16666666667
"744",2000,"A630",250
"745",2000,"A680",161
"746",2000,"A685",52.5
"747",2000,"A690",30.875
"748",2000,"B484",42.5
"749",2000,"C320",40.5
"750",2000,"C370",502.5
"751",2000,"D320",37
"752",2000,"G320",75
"753",2000,"KSHZ06",400
"754",2000,"KTHA03",96
"755",2000,"N484",82.25
"756",2000,"VA42A",NA
"757",2001,"0311",40
"758",2001,"0317",425
"759",2001,"0321",70.5
"760",2001,"0322",295
"761",2001,"0430",816
"762",2001,"0434",1061.25
"763",2001,"0438",135.166666666667
"764",2001,"0440",204.666666666667
"765",2001,"0442",140
"766",2001,"0444",260
"767",2001,"0446",723.75
"768",2001,"0470",175
"769",2001,"0474",190
"770",2001,"0478",135
"771",2001,"0484",235
"772",2001,"0631",160
"773",2001,"A315",455
"774",2001,"A320",98.5
"775",2001,"A432",410
"776",2001,"A456",402.5
"777",2001,"A499",125
"778",2001,"A617",240
"779",2001,"A620",470
"780",2001,"A630",385
"781",2001,"A680",255
"782",2001,"A685",47
"783",2001,"A690",24
"784",2001,"B484",90
"785",2001,"C320",19
"786",2001,"C370",315
"787",2001,"D320",32
"788",2001,"G320",110
"789",2001,"KSHZ06",260
"790",2001,"KTHA03",44.5
"791",2001,"N484",77
"792",2001,"VA42A",NA
"793",2002,"0311",39
"794",2002,"0317",470
"795",2002,"0321",76.5
"796",2002,"0322",363
"797",2002,"0430",470
"798",2002,"0434",960
"799",2002,"0438",120
"800",2002,"0440",175
"801",2002,"0442",135.5
"802",2002,"0444",273.75
"803",2002,"0446",612
"804",2002,"0470",165
"805",2002,"0474",225
"806",2002,"0478",265
"807",2002,"0484",160
"808",2002,"0631",113
"809",2002,"A315",992.166666666667
"810",2002,"A320",85
"811",2002,"A432",337.5
"812",2002,"A456",395
"813",2002,"A499",80.5
"814",2002,"A617",130
"815",2002,"A620",650.75
"816",2002,"A630",145
"817",2002,"A680",78.5
"818",2002,"A685",39.5
"819",2002,"A690",42.5
"820",2002,"B484",80
"821",2002,"C320",30.25
"822",2002,"C370",360
"823",2002,"D320",53
"824",2002,"G320",205
"825",2002,"KSHZ06",250
"826",2002,"KTHA03",57.5
"827",2002,"N484",81.5
"828",2002,"VA42A",NA
"829",2003,"0311",47
"830",2003,"0317",250
"831",2003,"0321",78
"832",2003,"0322",127
"833",2003,"0430",285
"834",2003,"0434",540
"835",2003,"0438",92
"836",2003,"0440",215
"837",2003,"0442",89
"838",2003,"0444",170
"839",2003,"0446",210.875
"840",2003,"0470",155
"841",2003,"0474",74
"842",2003,"0478",110
"843",2003,"0484",78.5
"844",2003,"0631",82.75
"845",2003,"A315",385
"846",2003,"A320",51
"847",2003,"A432",280
"848",2003,"A456",235
"849",2003,"A499",47
"850",2003,"A617",170
"851",2003,"A620",268
"852",2003,"A630",235
"853",2003,"A680",31.75
"854",2003,"A685",23.5
"855",2003,"A690",19.5
"856",2003,"B484",41
"857",2003,"C320",25
"858",2003,"C370",220
"859",2003,"D320",32
"860",2003,"G320",86
"861",2003,"KSHZ06",195
"862",2003,"KTHA03",33
"863",2003,"N484",83.5
"864",2003,"VA42A",NA
"865",2004,"0311",26
"866",2004,"0317",245
"867",2004,"0321",74.5
"868",2004,"0322",59
"869",2004,"0430",275
"870",2004,"0434",825
"871",2004,"0438",160
"872",2004,"0440",106.5
"873",2004,"0442",123
"874",2004,"0444",185
"875",2004,"0446",313.333333333333
"876",2004,"0470",137.5
"877",2004,"0474",78.25
"878",2004,"0478",104.5
"879",2004,"0484",120
"880",2004,"0631",115
"881",2004,"A315",157.5
"882",2004,"A320",66.5
"883",2004,"A432",305
"884",2004,"A456",109
"885",2004,"A499",42
"886",2004,"A617",121
"887",2004,"A620",115
"888",2004,"A630",250
"889",2004,"A680",59
"890",2004,"A685",29.5
"891",2004,"A690",44
"892",2004,"B484",60
"893",2004,"C320",38.5
"894",2004,"C370",210
"895",2004,"D320",34
"896",2004,"G320",110
"897",2004,"KSHZ06",245
"898",2004,"KTHA03",38
"899",2004,"N484",53
"900",2004,"VA42A",NA
"901",2005,"0311",33
"902",2005,"0317",150
"903",2005,"0321",74.5
"904",2005,"0322",70.5
"905",2005,"0430",300
"906",2005,"0434",540
"907",2005,"0438",87
"908",2005,"0440",68.75
"909",2005,"0442",56
"910",2005,"0444",163.333333333333
"911",2005,"0446",220.1
"912",2005,"0470",184.25
"913",2005,"0474",140.75
"914",2005,"0478",170.25
"915",2005,"0484",145
"916",2005,"0631",130
"917",2005,"A315",122
"918",2005,"A320",59
"919",2005,"A432",230.25
"920",2005,"A456",165
"921",2005,"A499",36.5
"922",2005,"A617",145.25
"923",2005,"A620",143.75
"924",2005,"A630",81.75
"925",2005,"A680",113.75
"926",2005,"A685",42
"927",2005,"A690",60
"928",2005,"B484",61.5
"929",2005,"C320",49.75
"930",2005,"C370",96
"931",2005,"D320",28
"932",2005,"G320",108
"933",2005,"KSHZ06",182.5
"934",2005,"KTHA03",114
"935",2005,"N484",59.25
"936",2005,"VA42A",NA
"937",2006,"0311",23
"938",2006,"0317",145
"939",2006,"0321",47.5
"940",2006,"0322",59.5
"941",2006,"0430",530
"942",2006,"0434",640
"943",2006,"0438",76
"944",2006,"0440",95.5
"945",2006,"0442",113
"946",2006,"0444",140
"947",2006,"0446",417.916666666667
"948",2006,"0470",165
"949",2006,"0474",205
"950",2006,"0478",94.5
"951",2006,"0484",71.5
"952",2006,"0631",85.5
"953",2006,"A315",165
"954",2006,"A320",47.5
"955",2006,"A432",260
"956",2006,"A456",165
"957",2006,"A499",56
"958",2006,"A617",47
"959",2006,"A620",270.25
"960",2006,"A630",72.5
"961",2006,"A680",59.1666666666667
"962",2006,"A685",46.5
"963",2006,"A690",48
"964",2006,"B484",51
"965",2006,"C320",60
"966",2006,"C370",120
"967",2006,"D320",36
"968",2006,"G320",77
"969",2006,"KSHZ06",290
"970",2006,"KTHA03",220
"971",2006,"N484",64
"972",2006,"VA42A",NA
"973",2007,"0311",40.5
"974",2007,"0317",525
"975",2007,"0321",60.5
"976",2007,"0322",59
"977",2007,"0430",135
"978",2007,"0434",662.5
"979",2007,"0438",64.75
"980",2007,"0440",230
"981",2007,"0442",100
"982",2007,"0444",240
"983",2007,"0446",415
"984",2007,"0470",330
"985",2007,"0474",115
"986",2007,"0478",151.5
"987",2007,"0484",125.5
"988",2007,"0631",175
"989",2007,"A315",179.75
"990",2007,"A320",65
"991",2007,"A432",212.5
"992",2007,"A456",130
"993",2007,"A499",51
"994",2007,"A617",102.75
"995",2007,"A620",181.416666666667
"996",2007,"A630",72.5
"997",2007,"A680",86.5
"998",2007,"A685",96
"999",2007,"A690",36.5
"1000",2007,"B484",66
"1001",2007,"C320",27.5
"1002",2007,"C370",170
"1003",2007,"D320",42
"1004",2007,"G320",75.5
"1005",2007,"KSHZ06",91.5
"1006",2007,"KTHA03",64
"1007",2007,"N484",117
"1008",2007,"VA42A",160
"1009",2008,"0311",19.5
"1010",2008,"0317",72.5
"1011",2008,"0321",52.5
"1012",2008,"0322",54
"1013",2008,"0430",385
"1014",2008,"0434",280
"1015",2008,"0438",39.5
"1016",2008,"0440",82.5
"1017",2008,"0442",55.5
"1018",2008,"0444",82.5
"1019",2008,"0446",351.875
"1020",2008,"0470",215
"1021",2008,"0474",81.5
"1022",2008,"0478",86.5
"1023",2008,"0484",57
"1024",2008,"0631",71
"1025",2008,"A315",64.5
"1026",2008,"A320",33.5
"1027",2008,"A432",76.5
"1028",2008,"A456",40.5
"1029",2008,"A499",30.5
"1030",2008,"A617",67
"1031",2008,"A620",534.285714285714
"1032",2008,"A630",64
"1033",2008,"A680",43.25
"1034",2008,"A685",29.5
"1035",2008,"A690",39.5
"1036",2008,"B484",28
"1037",2008,"C320",36.75
"1038",2008,"C370",92
"1039",2008,"D320",22
"1040",2008,"G320",32.5
"1041",2008,"KSHZ06",60.5
"1042",2008,"KTHA03",24.5
"1043",2008,"N484",46
"1044",2008,"VA42A",105
"1045",2009,"0311",NA
"1046",2009,"0317",145
"1047",2009,"0321",NA
"1048",2009,"0322",95.5
"1049",2009,"0430",195.5
"1050",2009,"0434",395
"1051",2009,"0438",34.5
"1052",2009,"0440",55
"1053",2009,"0442",NA
"1054",2009,"0444",NA
"1055",2009,"0446",288
"1056",2009,"0470",720
"1057",2009,"0474",135
"1058",2009,"0478",94
"1059",2009,"0484",67.5
"1060",2009,"0631",40.25
"1061",2009,"A315",NA
"1062",2009,"A320",37
"1063",2009,"A432",NA
"1064",2009,"A456",NA
"1065",2009,"A499",NA
"1066",2009,"A617",NA
"1067",2009,"A620",400
"1068",2009,"A630",NA
