"","Year","Locator","NTU"
"347",1988,"N484",1.45
"348",1988,"VA12A",NA
"349",1988,"VA41A",NA
"350",1988,"VA42A",NA
"351",1988,"VA45A",NA
"352",1989,"0311",2.4
"353",1989,"0317",22.5
"354",1989,"0321",NA
"355",1989,"0322",2.3
"356",1989,"0430",2.95
"357",1989,"0434",1.95
"358",1989,"0438",NA
"359",1989,"0440",3.35
"360",1989,"0442",3.55
"361",1989,"0444",3.35
"362",1989,"0446",1.75
"363",1989,"0470",2.1
"364",1989,"0474",2.5
"365",1989,"0478",2.6
"366",1989,"0484",3.5
"367",1989,"0631",2.35
"368",1989,"A315",11
"369",1989,"A320",1.35
"370",1989,"A432",2.7
"371",1989,"A456",2.15
"372",1989,"A499",1.75
"373",1989,"A617",NA
"374",1989,"A620",NA
"375",1989,"A630",7.85
"376",1989,"A680",NA
"377",1989,"A685",NA
"378",1989,"A690",NA
"379",1989,"B484",2.75
"380",1989,"C320",1.25
"381",1989,"C370",NA
"382",1989,"D320",1.15
"383",1989,"G320",1.8
"384",1989,"KSHZ06",1.7
"385",1989,"KTHA03",1.3
"386",1989,"N484",1.8
"387",1989,"VA12A",NA
"388",1989,"VA41A",NA
"389",1989,"VA42A",NA
"390",1989,"VA45A",NA
"391",1990,"0311",2.5
"392",1990,"0317",21
"393",1990,"0321",NA
"394",1990,"0322",2.1
"395",1990,"0430",1.5
"396",1990,"0434",1.6
"397",1990,"0438",NA
"398",1990,"0440",1.5
"399",1990,"0442",2.5
"400",1990,"0444",3.55
"401",1990,"0446",2.6
"402",1990,"0470",2
"403",1990,"0474",2.3
"404",1990,"0478",2.3
"405",1990,"0484",4.55
"406",1990,"0631",2.9
"407",1990,"A315",8.9
"408",1990,"A320",1.75
"409",1990,"A432",3.15
"410",1990,"A456",2.1
"411",1990,"A499",1.3
"412",1990,"A617",NA
"413",1990,"A620",NA
"414",1990,"A630",7
"415",1990,"A680",NA
"416",1990,"A685",NA
"417",1990,"A690",NA
"418",1990,"B484",3.3
"419",1990,"C320",1.1
"420",1990,"C370",NA
"421",1990,"D320",1
"422",1990,"G320",1.6
"423",1990,"KSHZ06",1.5
"424",1990,"KTHA03",1
"425",1990,"N484",1.4
"426",1990,"VA12A",NA
"427",1990,"VA41A",NA
"428",1990,"VA42A",NA
"429",1990,"VA45A",NA
"430",1991,"0311",2.8
"431",1991,"0317",23
"432",1991,"0321",NA
"433",1991,"0322",3
"434",1991,"0430",2.4
"435",1991,"0434",2.2
"436",1991,"0438",NA
"437",1991,"0440",2.8
"438",1991,"0442",17.6
"439",1991,"0444",6.35
"440",1991,"0446",6.23333333333333
"441",1991,"0470",2.4
"442",1991,"0474",2.5
"443",1991,"0478",2.8
"444",1991,"0484",5.325
"445",1991,"0631",5.5
"446",1991,"A315",9.5
"447",1991,"A320",4
"448",1991,"A432",5.18333333333333
"449",1991,"A456",2.8
"450",1991,"A499",2.1
"451",1991,"A617",NA
"452",1991,"A620",NA
"453",1991,"A630",6.6
"454",1991,"A680",NA
"455",1991,"A685",NA
"456",1991,"A690",NA
"457",1991,"B484",3
"458",1991,"C320",1.1
"459",1991,"C370",NA
"460",1991,"D320",1.1
"461",1991,"G320",1.4
"462",1991,"KSHZ06",1.6
"463",1991,"KTHA03",1.5
"464",1991,"N484",1.5
"465",1991,"VA12A",NA
"466",1991,"VA41A",NA
"467",1991,"VA42A",NA
"468",1991,"VA45A",NA
"469",1992,"0311",2.25
"470",1992,"0317",19.4
"471",1992,"0321",NA
"472",1992,"0322",1.73333333333333
"473",1992,"0430",2.15
"474",1992,"0434",2.6
"475",1992,"0438",NA
"476",1992,"0440",1.8
"477",1992,"0442",1.25
"478",1992,"0444",3.1
"479",1992,"0446",2.45
"480",1992,"0470",3.1
"481",1992,"0474",3.4
"482",1992,"0478",2.8
"483",1992,"0484",3.9
"484",1992,"0631",1.45
"485",1992,"A315",4.75
"486",1992,"A320",1.1
"487",1992,"A432",3.15
"488",1992,"A456",4
"489",1992,"A499",1.8
"490",1992,"A617",NA
"491",1992,"A620",NA
"492",1992,"A630",6.5
"493",1992,"A680",NA
"494",1992,"A685",NA
"495",1992,"A690",NA
"496",1992,"B484",2.3
"497",1992,"C320",0.85
"498",1992,"C370",NA
"499",1992,"D320",0.85
"500",1992,"G320",1.6
"501",1992,"KSHZ06",1.4
"502",1992,"KTHA03",1
"503",1992,"N484",1.65
"504",1992,"VA12A",NA
"505",1992,"VA41A",NA
"506",1992,"VA42A",NA
"507",1992,"VA45A",NA
"508",1993,"0311",2.15
"509",1993,"0317",9.95
"510",1993,"0321",1.6
"511",1993,"0322",2.4
"512",1993,"0430",2.75
"513",1993,"0434",2.5
"514",1993,"0438",NA
"515",1993,"0440",2.2
"516",1993,"0442",1.2
"517",1993,"0444",3.25
"518",1993,"0446",3.85
"519",1993,"0470",2.45
"520",1993,"0474",2.65
"521",1993,"0478",4.275
"522",1993,"0484",3.2
"523",1993,"0631",2.025
"524",1993,"A315",4.525
"525",1993,"A320",1.425
"526",1993,"A432",2.825
"527",1993,"A456",3.25
"528",1993,"A499",2.175
"529",1993,"A617",NA
"530",1993,"A620",NA
"531",1993,"A630",3.85
"532",1993,"A680",NA
"533",1993,"A685",NA
"534",1993,"A690",NA
"535",1993,"B484",2.1
"536",1993,"C320",0.675
"537",1993,"C370",2.55
"538",1993,"D320",0.95
"539",1993,"G320",1.4
"540",1993,"KSHZ06",1.7
"541",1993,"KTHA03",0.7
"542",1993,"N484",1.85
"543",1993,"VA12A",NA
"544",1993,"VA41A",NA
"545",1993,"VA42A",NA
"546",1993,"VA45A",NA
"547",1994,"0311",2.1
"548",1994,"0317",12.075
"549",1994,"0321",1
"550",1994,"0322",1.55
"551",1994,"0430",1.3
"552",1994,"0434",1.25
"553",1994,"0438",NA
"554",1994,"0440",1.65
"555",1994,"0442",1.15
"556",1994,"0444",2.2
"557",1994,"0446",1.5
"558",1994,"0470",1.85
"559",1994,"0474",2.25
"560",1994,"0478",1.85
"561",1994,"0484",2.3
"562",1994,"0631",1.86666666666667
"563",1994,"A315",4.85
"564",1994,"A320",1.2
"565",1994,"A432",1.8
"566",1994,"A456",3.8
"567",1994,"A499",1.45
"568",1994,"A617",NA
"569",1994,"A620",NA
"570",1994,"A630",3.725
"571",1994,"A680",NA
"572",1994,"A685",NA
"573",1994,"A690",NA
"574",1994,"B484",1.85
"575",1994,"C320",0.8
"576",1994,"C370",2.75
"577",1994,"D320",0.9
"578",1994,"G320",1.4
"579",1994,"KSHZ06",0.95
"580",1994,"KTHA03",0.6
"581",1994,"N484",1.3
"582",1994,"VA12A",NA
"583",1994,"VA41A",NA
"584",1994,"VA42A",NA
"585",1994,"VA45A",NA
"586",1995,"0311",1.7
"587",1995,"0317",17.5
"588",1995,"0321",1.3
"589",1995,"0322",2.125
"590",1995,"0430",4.18333333333333
"591",1995,"0434",3.91
"592",1995,"0438",NA
"593",1995,"0440",3.05
"594",1995,"0442",3.41666666666667
"595",1995,"0444",4.71666666666667
"596",1995,"0446",4.15
"597",1995,"0470",2.35
"598",1995,"0474",3.275
