"","Year","Locator","deg. C"
"371",1989,"A456",11.35
"372",1989,"A499",11.1
"373",1989,"A617",NA
"374",1989,"A620",NA
"375",1989,"A630",10.25
"376",1989,"A680",NA
"377",1989,"A685",NA
"378",1989,"A690",NA
"379",1989,"B484",10.25
"380",1989,"C320",9.5
"381",1989,"C370",NA
"382",1989,"D320",10.25
"383",1989,"G320",12.25
"384",1989,"KSHZ06",11
"385",1989,"KTHA03",10
"386",1989,"N484",10
"387",1989,"VA12A",NA
"388",1989,"VA41A",NA
"389",1989,"VA42A",NA
"390",1989,"VA45A",NA
"391",1990,"0311",10
"392",1990,"0317",11.15
"393",1990,"0321",NA
"394",1990,"0322",10
"395",1990,"0430",8.5
"396",1990,"0434",9.3
"397",1990,"0438",NA
"398",1990,"0440",9.5
"399",1990,"0442",9.91666666666667
"400",1990,"0444",9.75
"401",1990,"0446",9.65
"402",1990,"0470",8.8
"403",1990,"0474",9
"404",1990,"0478",9
"405",1990,"0484",10.05
"406",1990,"0631",9.65
"407",1990,"A315",11
"408",1990,"A320",9.5
"409",1990,"A432",9
"410",1990,"A456",9.8
"411",1990,"A499",10
"412",1990,"A617",NA
"413",1990,"A620",NA
"414",1990,"A630",10
"415",1990,"A680",NA
"416",1990,"A685",NA
"417",1990,"A690",NA
"418",1990,"B484",10
"419",1990,"C320",11.1
"420",1990,"C370",NA
"421",1990,"D320",10.1
"422",1990,"G320",11.1
"423",1990,"KSHZ06",10
"424",1990,"KTHA03",9.5
"425",1990,"N484",10.1
"426",1990,"VA12A",NA
"427",1990,"VA41A",NA
"428",1990,"VA42A",NA
"429",1990,"VA45A",NA
"430",1991,"0311",9.1
"431",1991,"0317",10.6
"432",1991,"0321",NA
"433",1991,"0322",9.65
"434",1991,"0430",9.3
"435",1991,"0434",9.4
"436",1991,"0438",NA
"437",1991,"0440",10.25
"438",1991,"0442",10.5
"439",1991,"0444",11.3
"440",1991,"0446",10.6833333333333
"441",1991,"0470",8.6
"442",1991,"0474",8.5
"443",1991,"0478",8.9
"444",1991,"0484",9.76666666666667
"445",1991,"0631",10.3
"446",1991,"A315",10.6
"447",1991,"A320",10.2
"448",1991,"A432",10.6833333333333
"449",1991,"A456",10
"450",1991,"A499",11
"451",1991,"A617",NA
"452",1991,"A620",NA
"453",1991,"A630",10.4
"454",1991,"A680",NA
"455",1991,"A685",NA
"456",1991,"A690",NA
"457",1991,"B484",8.5
"458",1991,"C320",10.8
"459",1991,"C370",NA
"460",1991,"D320",10.15
"461",1991,"G320",10
"462",1991,"KSHZ06",10.1
"463",1991,"KTHA03",9.3
"464",1991,"N484",8.9
"465",1991,"VA12A",NA
"466",1991,"VA41A",NA
"467",1991,"VA42A",NA
"468",1991,"VA45A",NA
"469",1992,"0311",11.2
"470",1992,"0317",10.5
"471",1992,"0321",NA
"472",1992,"0322",9.75
"473",1992,"0430",10.9
"474",1992,"0434",10.575
"475",1992,"0438",NA
"476",1992,"0440",10.15
"477",1992,"0442",10.3833333333333
"478",1992,"0444",10.4166666666667
"479",1992,"0446",12.65
"480",1992,"0470",10.7
"481",1992,"0474",9.35
"482",1992,"0478",9.9
"483",1992,"0484",10.3166666666667
"484",1992,"0631",11.25
"485",1992,"A315",10.05
"486",1992,"A320",10
"487",1992,"A432",11.1
"488",1992,"A456",11.25
"489",1992,"A499",11.425
"490",1992,"A617",NA
"491",1992,"A620",NA
"492",1992,"A630",11.95
"493",1992,"A680",NA
"494",1992,"A685",NA
"495",1992,"A690",NA
"496",1992,"B484",10.2
"497",1992,"C320",10.2
"498",1992,"C370",NA
"499",1992,"D320",10.6
"500",1992,"G320",11.9
"501",1992,"KSHZ06",9.5
"502",1992,"KTHA03",10.15
"503",1992,"N484",9.5
"504",1992,"VA12A",NA
"505",1992,"VA41A",NA
"506",1992,"VA42A",NA
"507",1992,"VA45A",NA
"508",1993,"0311",10.15
"509",1993,"0317",10.25
"510",1993,"0321",9.3
"511",1993,"0322",9.075
"512",1993,"0430",11.025
"513",1993,"0434",12
"514",1993,"0438",NA
"515",1993,"0440",9.4
"516",1993,"0442",10
"517",1993,"0444",9.9
"518",1993,"0446",11.65
"519",1993,"0470",10.7
"520",1993,"0474",10
"521",1993,"0478",9.85
"522",1993,"0484",10
"523",1993,"0631",9.7
"524",1993,"A315",10
"525",1993,"A320",9.95
"526",1993,"A432",10.8
"527",1993,"A456",11.35
"528",1993,"A499",11.5
"529",1993,"A617",NA
"530",1993,"A620",NA
"531",1993,"A630",10.25
"532",1993,"A680",NA
"533",1993,"A685",NA
"534",1993,"A690",NA
"535",1993,"B484",10
"536",1993,"C320",10.25
"537",1993,"C370",10.2
"538",1993,"D320",10.85
"539",1993,"G320",11
"540",1993,"KSHZ06",10.6
"541",1993,"KTHA03",10
"542",1993,"N484",10.5
"543",1993,"VA12A",NA
"544",1993,"VA41A",NA
"545",1993,"VA42A",NA
"546",1993,"VA45A",NA
"547",1994,"0311",9.95
"548",1994,"0317",10.5
"549",1994,"0321",9
"550",1994,"0322",8.5
"551",1994,"0430",10.05
"552",1994,"0434",10.4
"553",1994,"0438",NA
"554",1994,"0440",10.8
"555",1994,"0442",10.65
"556",1994,"0444",10.95
"557",1994,"0446",11.05
"558",1994,"0470",9.5
"559",1994,"0474",10
"560",1994,"0478",9.75
"561",1994,"0484",10.9
"562",1994,"0631",10.2
"563",1994,"A315",10.75
"564",1994,"A320",9.5
"565",1994,"A432",10.85
"566",1994,"A456",11.15
"567",1994,"A499",11.05
"568",1994,"A617",NA
"569",1994,"A620",NA
"570",1994,"A630",10.35
"571",1994,"A680",NA
"572",1994,"A685",NA
"573",1994,"A690",NA
"574",1994,"B484",10.95
"575",1994,"C320",9.75
"576",1994,"C370",11
"577",1994,"D320",10.1
"578",1994,"G320",10.25
"579",1994,"KSHZ06",9.25
"580",1994,"KTHA03",9.2
"581",1994,"N484",10.625
"582",1994,"VA12A",NA
"583",1994,"VA41A",NA
"584",1994,"VA42A",NA
"585",1994,"VA45A",NA
"586",1995,"0311",12.2
"587",1995,"0317",11.0166666666667
"588",1995,"0321",9.91
"589",1995,"0322",9.3125
"590",1995,"0430",10.225
"591",1995,"0434",10.375
"592",1995,"0438",NA
"593",1995,"0440",10.0333333333333
"594",1995,"0442",10.2333333333333
"595",1995,"0444",10.55
"596",1995,"0446",10.7333333333333
"597",1995,"0470",9.86666666666667
"598",1995,"0474",9.68333333333333
"599",1995,"0478",9.55
"600",1995,"0484",9.2
"601",1995,"0631",9.75
"602",1995,"A315",10.1833333333333
"603",1995,"A320",9.875
"604",1995,"A432",10.45
"605",1995,"A456",10.25
"606",1995,"A499",10.55
"607",1995,"A617",10.95
"608",1995,"A620",NA
"609",1995,"A630",9.7
"610",1995,"A680",11.825
"611",1995,"A685",NA
"612",1995,"A690",9.85
"613",1995,"B484",9.1
"614",1995,"C320",10.6
"615",1995,"C370",10.9
"616",1995,"D320",10.8
"617",1995,"G320",11.6
