"","Year","Locator","mg/L"
"617",1995,"0317",22.1333333333333
"618",1995,"0321",5.675
"619",1995,"0322",5
"620",1995,"0430",11.5
"621",1995,"0434",12.46
"622",1995,"0438",NA
"623",1995,"0440",11.5
"624",1995,"0442",6.95
"625",1995,"0444",7.76666666666667
"626",1995,"0446",9.975
"627",1995,"0470",7.225
"628",1995,"0474",9.875
"629",1995,"0478",11
"630",1995,"0484",15.35
"631",1995,"0631",7.55
"632",1995,"A315",9.65
"633",1995,"A320",5.35
"634",1995,"A432",14.9333333333333
"635",1995,"A456",8.25
"636",1995,"A499",6.15
"637",1995,"A617",4.7
"638",1995,"A620",NA
"639",1995,"A630",6.65
"640",1995,"A680",3.5
"641",1995,"A685",NA
"642",1995,"A690",4.3
"643",1995,"B484",3.075
"644",1995,"C320",2
"645",1995,"C370",NA
"646",1995,"D320",2.6
"647",1995,"G320",2.9
"648",1995,"KSHZ06",7.66666666666667
"649",1995,"KTHA03",1.7
"650",1995,"LSIN1",1.85
"651",1995,"LSIN9",1.6
"652",1995,"N484",3.05
"653",1995,"VA12A",NA
"654",1995,"VA41A",NA
"655",1995,"VA42A",NA
"656",1995,"VA45A",NA
"657",1996,"0311",18.4
"658",1996,"0317",8.7
"659",1996,"0321",4.36666666666667
"660",1996,"0322",7.025
"661",1996,"0430",6.35
"662",1996,"0434",6.15
"663",1996,"0438",NA
"664",1996,"0440",10.525
"665",1996,"0442",7.55
"666",1996,"0444",3.75
"667",1996,"0446",6.25
"668",1996,"0470",4.1
"669",1996,"0474",4.2
"670",1996,"0478",9.025
"671",1996,"0484",9.8
"672",1996,"0631",15.4
"673",1996,"A315",6.2
"674",1996,"A320",7.15
"675",1996,"A432",11.5
"676",1996,"A456",5
"677",1996,"A499",6.3
"678",1996,"A617",5.95
"679",1996,"A620",2.3
"680",1996,"A630",11.5
"681",1996,"A680",6.99166666666667
"682",1996,"A685",5.125
"683",1996,"A690",12.95
"684",1996,"B484",4
"685",1996,"C320",2
"686",1996,"C370",3.5
"687",1996,"D320",2.5
"688",1996,"G320",3.6
"689",1996,"KSHZ06",4
"690",1996,"KTHA03",2.8
"691",1996,"LSIN1",NA
"692",1996,"LSIN9",NA
"693",1996,"N484",3.8
"694",1996,"VA12A",NA
"695",1996,"VA41A",NA
"696",1996,"VA42A",NA
"697",1996,"VA45A",NA
"698",1997,"0311",15.1
"699",1997,"0317",9.4
"700",1997,"0321",4.075
"701",1997,"0322",4.51666666666667
"702",1997,"0430",3.65
"703",1997,"0434",5.7
"704",1997,"0438",6.75
"705",1997,"0440",3
"706",1997,"0442",2.6
"707",1997,"0444",3.9
"708",1997,"0446",2.5
"709",1997,"0470",2.6
"710",1997,"0474",4.1
"711",1997,"0478",4.925
"712",1997,"0484",6.6
"713",1997,"0631",5.55
"714",1997,"A315",6.475
