"","Year","Locator","pH"
"295",1987,"A617",NA
"296",1987,"A620",NA
"297",1987,"A630",7.45
"298",1987,"A680",NA
"299",1987,"A685",NA
"300",1987,"A690",NA
"301",1987,"B484",7.3
"302",1987,"C320",7.5
"303",1987,"C370",NA
"304",1987,"D320",7.45
"305",1987,"G320",7.6
"306",1987,"KSHZ06",NA
"307",1987,"KTHA03",NA
"308",1987,"N484",7.45
"309",1987,"VA12A",NA
"310",1987,"VA41A",NA
"311",1987,"VA42A",NA
"312",1987,"VA45A",NA
"313",1988,"0311",7.29444444444444
"314",1988,"0317",6.9
"315",1988,"0321",NA
"316",1988,"0322",7.85
"317",1988,"0430",7.7
"318",1988,"0434",7.8
"319",1988,"0438",NA
"320",1988,"0440",7.8
"321",1988,"0442",8.25
"322",1988,"0444",7.5
"323",1988,"0446",7.5
"324",1988,"0470",7.65
"325",1988,"0474",7.6
"326",1988,"0478",7.55
"327",1988,"0484",7.4
"328",1988,"0631",7.5
"329",1988,"A315",7.15
"330",1988,"A320",7.75
"331",1988,"A432",7.85
"332",1988,"A456",7.6
"333",1988,"A499",8
"334",1988,"A617",NA
"335",1988,"A620",NA
"336",1988,"A630",7.5
"337",1988,"A680",7.6
"338",1988,"A685",NA
"339",1988,"A690",7.6
"340",1988,"B484",7.3
"341",1988,"C320",7.6
"342",1988,"C370",NA
"343",1988,"D320",7.5
"344",1988,"G320",7.5
"345",1988,"KSHZ06",NA
"346",1988,"KTHA03",NA
"347",1988,"N484",7.55
"348",1988,"VA12A",NA
"349",1988,"VA41A",NA
"350",1988,"VA42A",NA
"351",1988,"VA45A",NA
"352",1989,"0311",7.3
"353",1989,"0317",7
"354",1989,"0321",NA
"355",1989,"0322",7.7
"356",1989,"0430",7.6
"357",1989,"0434",7.7
"358",1989,"0438",NA
"359",1989,"0440",7.9
"360",1989,"0442",8.2
"361",1989,"0444",7.45
"362",1989,"0446",7.5
"363",1989,"0470",7.55
"364",1989,"0474",7.75
"365",1989,"0478",7.7
"366",1989,"0484",7.4
"367",1989,"0631",7.55
"368",1989,"A315",7.15
"369",1989,"A320",7.55
"370",1989,"A432",7.775
"371",1989,"A456",7.6
"372",1989,"A499",7.95
"373",1989,"A617",NA
"374",1989,"A620",NA
"375",1989,"A630",7.45
"376",1989,"A680",NA
"377",1989,"A685",NA
"378",1989,"A690",NA
"379",1989,"B484",7.3
"380",1989,"C320",7.6
"381",1989,"C370",NA
"382",1989,"D320",7.5
"383",1989,"G320",7.6
"384",1989,"KSHZ06",7.95
"385",1989,"KTHA03",7.9
"386",1989,"N484",7.7
"387",1989,"VA12A",NA
"388",1989,"VA41A",NA
"389",1989,"VA42A",NA
"390",1989,"VA45A",NA
"391",1990,"0311",7
"392",1990,"0317",6.9
"393",1990,"0321",NA
"394",1990,"0322",7.6
"395",1990,"0430",7.6
"396",1990,"0434",7.5
"397",1990,"0438",NA
"398",1990,"0440",7.7
"399",1990,"0442",7.7
"400",1990,"0444",7.45
"401",1990,"0446",7.4
"402",1990,"0470",7.3
"403",1990,"0474",7.7
"404",1990,"0478",7.65
"405",1990,"0484",7.26666666666667
"406",1990,"0631",7.5
"407",1990,"A315",7
"408",1990,"A320",7.475
"409",1990,"A432",7.5
"410",1990,"A456",7.5
"411",1990,"A499",7.7
"412",1990,"A617",NA
"413",1990,"A620",NA
"414",1990,"A630",7.4
"415",1990,"A680",NA
"416",1990,"A685",NA
"417",1990,"A690",NA
"418",1990,"B484",7.15
"419",1990,"C320",7.5
"420",1990,"C370",NA
"421",1990,"D320",7.4
"422",1990,"G320",7.4
"423",1990,"KSHZ06",7.75
"424",1990,"KTHA03",7.9
"425",1990,"N484",7.65
"426",1990,"VA12A",NA
