"","Year","Locator","umhos/cm"
"490",1991,"VA41A",NA
"491",1991,"VA42A",NA
"492",1991,"VA45A",NA
"493",1992,"0311",107.5
"494",1992,"0317",297
"495",1992,"0321",NA
"496",1992,"0322",138.5
"497",1992,"0430",208
"498",1992,"0434",226.5
"499",1992,"0438",NA
"500",1992,"0440",166
"501",1992,"0442",456
"502",1992,"0444",196
"503",1992,"0446",183.25
"504",1992,"0470",164.5
"505",1992,"0474",154
"506",1992,"0478",131.75
"507",1992,"0484",117.666666666667
"508",1992,"0631",109.25
"509",1992,"A315",227
"510",1992,"A320",118.5
"511",1992,"A432",182
"512",1992,"A456",197
"513",1992,"A499",208.5
"514",1992,"A617",NA
"515",1992,"A620",NA
"516",1992,"A630",232.75
"517",1992,"A680",NA
"518",1992,"A685",NA
"519",1992,"A690",NA
"520",1992,"B484",125.5
"521",1992,"C320",118
"522",1992,"C370",NA
"523",1992,"D320",107.5
"524",1992,"G320",62.5
"525",1992,"KSHZ06",243.5
"526",1992,"KTHA03",231.5
"527",1992,"LSIN1",NA
"528",1992,"LSIN9",NA
"529",1992,"N484",131
"530",1992,"VA12A",NA
"531",1992,"VA41A",NA
"532",1992,"VA42A",NA
"533",1992,"VA45A",NA
"534",1993,"0311",87.5
"535",1993,"0317",280
"536",1993,"0321",120
"537",1993,"0322",150
"538",1993,"0430",180
"539",1993,"0434",180
"540",1993,"0438",NA
"541",1993,"0440",160
"542",1993,"0442",437.5
"543",1993,"0444",180
"544",1993,"0446",170
"545",1993,"0470",175.5
"546",1993,"0474",155
"547",1993,"0478",130.5
"548",1993,"0484",120
"549",1993,"0631",120
"550",1993,"A315",207.5
"551",1993,"A320",130
"552",1993,"A432",180.5
"553",1993,"A456",193.333333333333
"554",1993,"A499",198
"555",1993,"A617",NA
"556",1993,"A620",NA
"557",1993,"A630",210
"558",1993,"A680",NA
"559",1993,"A685",NA
"560",1993,"A690",NA
"561",1993,"B484",130
"562",1993,"C320",135
"563",1993,"C370",290
"564",1993,"D320",120
"565",1993,"G320",64.5
"566",1993,"KSHZ06",250
"567",1993,"KTHA03",240
"568",1993,"LSIN1",NA
"569",1993,"LSIN9",NA
"570",1993,"N484",130
"571",1993,"VA12A",NA
"572",1993,"VA41A",NA
"573",1993,"VA42A",NA
"574",1993,"VA45A",NA
"575",1994,"0311",99
"576",1994,"0317",295
"577",1994,"0321",122.5
"578",1994,"0322",150
"579",1994,"0430",220
"580",1994,"0434",240
"581",1994,"0438",NA
"582",1994,"0440",170
"583",1994,"0442",465
"584",1994,"0444",205
"585",1994,"0446",185
"586",1994,"0470",195
"587",1994,"0474",170
"588",1994,"0478",140
"589",1994,"0484",130
"590",1994,"0631",117.5
"591",1994,"A315",242.5
"592",1994,"A320",130
"593",1994,"A432",205
"594",1994,"A456",205
"595",1994,"A499",210
"596",1994,"A617",NA
"597",1994,"A620",NA
"598",1994,"A630",252.5
"599",1994,"A680",NA
"600",1994,"A685",NA
"601",1994,"A690",NA
"602",1994,"B484",140
"603",1994,"C320",140
"604",1994,"C370",275
"605",1994,"D320",130
"606",1994,"G320",61.75
"607",1994,"KSHZ06",250
"608",1994,"KTHA03",240
"609",1994,"LSIN1",NA
"610",1994,"LSIN9",NA
"611",1994,"N484",140
"612",1994,"VA12A",NA
"613",1994,"VA41A",NA
"614",1994,"VA42A",NA
"615",1994,"VA45A",NA
"616",1995,"0311",100
"617",1995,"0317",185
"618",1995,"0321",120
"619",1995,"0322",150
"620",1995,"0430",184.5
"621",1995,"0434",184
"622",1995,"0438",NA
"623",1995,"0440",138.875
"624",1995,"0442",376.666666666667
"625",1995,"0444",132.5
"626",1995,"0446",160
"627",1995,"0470",167.5
"628",1995,"0474",153.333333333333
"629",1995,"0478",130.833333333333
"630",1995,"0484",115
"631",1995,"0631",108.166666666667
"632",1995,"A315",220
"633",1995,"A320",127.5
"634",1995,"A432",200
"635",1995,"A456",183.333333333333
"636",1995,"A499",210
"637",1995,"A617",150
"638",1995,"A620",NA
"639",1995,"A630",197.5
"640",1995,"A680",125
"641",1995,"A685",NA
"642",1995,"A690",90.5
"643",1995,"B484",130
"644",1995,"C320",140
"645",1995,"C370",280
"646",1995,"D320",130
"647",1995,"G320",60
"648",1995,"KSHZ06",217.5
"649",1995,"KTHA03",230.5
"650",1995,"LSIN1",NA
"651",1995,"LSIN9",NA
"652",1995,"N484",140
"653",1995,"VA12A",NA
"654",1995,"VA41A",NA
"655",1995,"VA42A",NA
"656",1995,"VA45A",NA
"657",1996,"0311",82
"658",1996,"0317",186.5
"659",1996,"0321",105.5
"660",1996,"0322",150.5
"661",1996,"0430",176.25
"662",1996,"0434",196
"663",1996,"0438",NA
"664",1996,"0440",143.25
"665",1996,"0442",325.5
"666",1996,"0444",163.5
"667",1996,"0446",151
"668",1996,"0470",150.75
"669",1996,"0474",138
"670",1996,"0478",118.5
"671",1996,"0484",109.5
"672",1996,"0631",88.3
"673",1996,"A315",175.166666666667
"674",1996,"A320",119
"675",1996,"A432",169.333333333333
"676",1996,"A456",160.5
"677",1996,"A499",210.5
"678",1996,"A617",131.75
"679",1996,"A620",190.75
"680",1996,"A630",151
"681",1996,"A680",89.75
"682",1996,"A685",124.75
"683",1996,"A690",85.1666666666667
"684",1996,"B484",119
"685",1996,"C320",130
"686",1996,"C370",288.5
"687",1996,"D320",121
"688",1996,"G320",60
"689",1996,"KSHZ06",238
"690",1996,"KTHA03",229.25
"691",1996,"LSIN1",NA
"692",1996,"LSIN9",NA
